robustness_rank_v2,provisional_status_v2,robustness_score_v2,hard_fail_count_v2,rank_change_vs_old,selection_source,consensus_flag,n,combo_id,role_my,role_colleague,role_tags,start_k,end_l,indicator_set_key,reconstructed_combo_key,final_asset_10y,final_asset_20y,buyhold_final_asset_10y,buyhold_final_asset_20y,total_mdd_10y,total_mdd_20y,mdd_improve_10y,mdd_improve_20y,risk_off_share_10y,risk_off_share_20y,cycle_count_10y,cycle_count_20y,short_cycle_count_10y,short_cycle_count_20y,short_cycle_ratio_10y,short_cycle_ratio_20y,average_cycle_days_10y,average_cycle_days_20y,practical_basic_flag,practical_stable_flag,strict_stability_flag,composite_score,my_role_score,colleague_role_score,my_selection_stage,colleague_filter_level,colleague_selection_reason,candidate_key,asset_retention_t2_vs_t1_10y,asset_retention_t2_vs_t1_20y,mdd_deterioration_t2_vs_t1_10y,mdd_deterioration_t2_vs_t1_20y,t2_status,asset_retention_vs_0bp_20y_0bp,asset_retention_vs_0bp_20y_5bp,asset_retention_vs_0bp_20y_10bp,asset_retention_vs_0bp_20y_20bp,final_asset_20y_0bp,final_asset_20y_5bp,final_asset_20y_10bp,final_asset_20y_20bp,positive_period_ratio,bh_outperform_period_ratio,mdd_improve_period_ratio,worst_period_excess_cagr,worst_period_mdd,period_cagr_std,period_mdd_std,original_start_k,original_end_l,valid_neighbor_count,neighbor_pass_count,neighbor_pass_ratio,neighbor_final_asset_20y_median,neighbor_final_asset_20y_p25,neighbor_final_asset_20y_min,neighbor_mdd_20y_median,neighbor_mdd_20y_worst,original_asset_vs_neighbor_median_ratio,original_mdd_vs_neighbor_median_delta,original_rank_within_neighbors,best_neighbor_k_l,worst_neighbor_k_l,crisis_detected_count,crisis_detection_ratio,positive_downside_avoidance_ratio,average_entry_lag,median_entry_lag,average_reentry_lag,median_reentry_lag,total_downside_avoided,total_rebound_missed,false_positive_cycle_count,t2_score,cost_score,period_score,kl_score,crisis_score,robustness_score,robustness_grade,hard_fail_t2,hard_fail_cost,hard_fail_period,hard_fail_kl,hard_fail_crisis,hard_fail_count,provisional_status,robustness_rank
1,CORE,0.6510795454545455,0,0,공통,True,4,717067,안정형,안정형,안정형,3,1,Index + Credit Stress + VIX + 10Y-2Y Spread,Index=EMA40_W45_S35_E25|Credit Stress=EMA1_W60_S28_E25|VIX=EMA15_W30_S75_E40|10Y-2Y Spread=EMA40_W60_S82_E52|start_k=3|end_l=1,443.70456053447936,1200.0974146145177,350.23996883972313,609.8260976898191,-0.0960445475291302,-0.1288678095569302,0.2432050524974027,0.4388860678707991,0.2610425785913251,0.3232604373757455,12,25,0,1,0.0,0.04,54.666666666666664,65.04,True,True,False,0.8906074984108744,0.8642307692307694,0.8542127843037144,권장조건,role_filter_strict,same_structure_avoided,n4_717067,1.037713190558582,0.972414601744901,-2.220446049250313e-16,-0.0014076620591113587,GOOD,1.0,0.9753038143277873,0.9512056281970317,0.904746818004034,1200.0974146145177,1170.4595860384552,1141.539415166036,1085.7843171673528,1.0,1.0,1.0,0.027128555144099842,-0.12886780955693022,0.026861785938554945,0.018950519167432022,3,1,10,3,0.3,764.8395671919106,382.0961558014066,129.80471676229945,-0.17091168310994964,-0.40751021821767386,1.5690838524746378,-0.042043873553019445,2,4/3,1/0,13,0.8461538461538461,1.0,67.18181818181819,35.0,2.272727272727273,20.0,2.5325464473322588,1.681990984632066,13,0.9159090909090909,0.5909090909090909,0.5136363636363637,0.6602272727272728,0.6778409090909091,0.6713068181818183,B,False,False,False,True,False,1,REVIEW,1
2,CORE,0.6217045454545455,0,7,내 안,False,8,19591620,균형형 방어,,균형형 방어,5,3,Index + IG + Credit Stress + VIX + 10Y Real Yield + 10Y-2Y Spread + 10Y Nominal Yield Slope + Bollinger Band,Index=EMA40_W45_S35_E25|IG=EMA5_W180_S20_E10|Credit Stress=EMA1_W60_S28_E25|VIX=EMA15_W30_S75_E40|10Y Real Yield=EMA40_W120_S18_E10|10Y-2Y Spread=EMA1_W480_S35_E25|10Y Nominal Yield Slope=SW15_EMA10_W45_S75_E40|Bollinger Band=BBW18_STD2p25|start_k=5|end_l=3,574.6616019968259,2302.697535418383,350.23996883972313,609.8260976898191,-0.1014710701146442,-0.1330511936308827,0.2377785299118887,0.4347026837968466,0.2307998408276959,0.2244532803180914,14,25,2,3,0.1428571428571428,0.12,41.42857142857143,45.16,True,True,False,0.9477449059486388,0.7090995352439969,,권장조건,,,n8_19591620,0.9627236781522327,0.9113158054146479,0.04127999693216877,0.03156958185424796,GOOD,1.0,0.9753038143277905,0.9512056281970328,0.9047468180040351,2302.697535418383,2245.829689536751,2190.338855725402,2083.3582679955157,1.0,1.0,1.0,0.057533228399431424,-0.1330511936308827,0.020203701748735734,0.01823279281314184,5,3,19,6,0.3157894736842105,1131.6841107977257,858.8657367629177,481.94407934541965,-0.20991368516024955,-0.38321623954142203,2.034752908031207,-0.07686249152936686,1,5/3,3/1,13,0.9230769230769231,1.0,16.083333333333332,10.5,-55.416666666666664,6.0,2.3652343825616717,1.2674187375952495,8,0.5659090909090909,0.6136363636363636,0.5818181818181818,0.5369318181818181,0.7147727272727273,0.5971875,C,False,False,False,True,False,1,REVIEW,9
3,CORE,0.6211931818181818,0,9,공통,True,8,19002150,안정형,안정형,안정형,4,2,Index + IG + Credit Stress + 10Y Real Yield + 10Y-2Y Spread + 10Y-3M Spread + 10Y Nominal Yield Slope + Bollinger Band,Index=EMA40_W45_S35_E25|IG=EMA5_W180_S20_E10|Credit Stress=EMA1_W60_S28_E25|10Y Real Yield=EMA40_W120_S18_E10|10Y-2Y Spread=EMA1_W480_S35_E25|10Y-3M Spread=EMA20_W360_S50_E32|10Y Nominal Yield Slope=SW15_EMA10_W45_S75_E40|Bollinger Band=BBW15_STD2p5|start_k=4|end_l=2,528.0489460998225,1755.7251114428805,350.23996883972313,609.8260976898191,-0.09604454752913,-0.1330511936308832,0.2432050524974029,0.434702683796846,0.2650218861918026,0.3278330019880716,11,23,0,0,0.0,0.0,60.54545454545455,71.69565217391305,True,True,False,0.9185993075370787,0.8429821843532146,0.8184516236589311,권장조건,role_filter_strict,same_structure_avoided,n8_19002150,0.9238355415150359,0.9178217420267771,-3.3306690738754696e-16,-5.551115123125783e-16,GOOD,1.0,0.9772568626563792,0.9550199818235595,0.9120211276885671,1755.7251114428805,1715.794414095691,1676.7525640173467,1601.2583960492711,1.0,1.0,1.0,0.047501562475214865,-0.13305119363088325,0.025580764279448016,0.02136579708865239,4,2,19,4,0.21052631578947367,894.3053145836855,478.1552212994625,185.3709523490539,-0.18902206184283954,-0.38321623954142203,1.9632278628023145,-0.05597086821195635,2,4/3,2/0,13,0.8461538461538461,1.0,39.54545454545455,11.0,16.727272727272727,15.0,2.5338882338597655,1.9715020578864622,11,0.7022727272727273,0.7045454545454546,0.5318181818181817,0.45397727272727273,0.6585227272727272,0.5890625,C,False,False,False,True,False,1,REVIEW,12
4,CORE,0.6009659090909091,0,6,내 안,False,7,3815013,저휩쏘형,,저휩쏘형,4,2,Index + IG + Credit Stress + VIX + 10Y Real Yield + 10Y-2Y Spread + 10Y-3M Spread,Index=EMA10_W90_S35_E25|IG=EMA8_W180_S20_E10|Credit Stress=EMA1_W60_S28_E25|VIX=EMA15_W30_S75_E40|10Y Real Yield=EMA40_W120_S20_E10|10Y-2Y Spread=EMA40_W60_S82_E52|10Y-3M Spread=EMA80_W60_S62_E32|start_k=4|end_l=2,427.7542308455193,1294.092787412732,350.23996883972313,609.8260976898191,-0.0960445475291295,-0.0960445475291298,0.2432050524974035,0.4717093298985995,0.3203342618384401,0.3779324055666004,14,32,0,1,0.0,0.03125,57.5,59.40625,True,True,False,0.7918729382072216,0.8597755834829445,,권장조건,,,n7_3815013,1.0718215483040474,0.9383378398381369,4.440892098500626e-16,0.03141559996868937,GOOD,1.0,0.9684988314739033,0.9379749638258467,0.879740614751579,1294.092787412732,1253.327352428037,1213.8266354607463,1138.4659843440613,1.0,1.0,1.0,0.02288769826159176,-0.09604454752912994,0.018858062692277876,0.00431826899438827,4,2,19,6,0.3157894736842105,700.2552346921647,260.193379866904,130.60246628329023,-0.17904681473208528,-0.381788013029833,1.848030151437027,-0.08300226720295548,4,4/3,2/0,13,0.6923076923076923,1.0,81.22222222222223,19.0,10.11111111111111,14.0,2.7848149683473737,1.8995654939943554,16,0.7443181818181818,0.3482954545454545,0.5863636363636363,0.5630681818181819,0.6090909090909091,0.5928693181818182,C,False,False,False,True,False,1,REVIEW,10
5,CORE,0.5926704545454546,0,-2,내 안,False,7,2100415,방어형,,방어형,3,1,Index + HY + Credit Stress + VIX + 10Y Real Yield + 10Y-2Y Spread + Bollinger Band,Index=EMA40_W45_S35_E25|HY=EMA80_W360_S75_E32|Credit Stress=EMA1_W60_S28_E25|VIX=EMA80_W360_S28_E10|10Y Real Yield=EMA40_W120_S18_E10|10Y-2Y Spread=EMA8_W360_S35_E18|Bollinger Band=BBW18_STD2p75|start_k=3|end_l=1,416.9293785250146,987.1787648887442,350.23996883972313,609.8260976898191,-0.0960445475291296,-0.0960445475291302,0.2432050524974034,0.471709329898599,0.3020294468762435,0.4083499005964214,8,16,0,0,0.0,0.0,94.875,128.375,True,True,False,0.6981799889842502,0.858431328545781,,권장조건,,,n7_2100415,1.0130296354532533,1.022277533872075,0.0019802261241582686,0.0019802261241576025,GOOD,1.0,0.9841233822412195,0.9684910757595266,0.9379448889735369,987.1787648887442,971.5057049790206,956.0738239740607,925.9192770306065,1.0,1.0,1.0,0.019927761137540134,-0.09604454752913028,0.030414034207043524,0.004318268994388344,3,1,14,5,0.35714285714285715,689.9843099951578,408.5580732999673,212.590238722925,-0.18797553609327566,-0.4226762568533595,1.4307263956417677,-0.09193098856414546,2,3/2,1/0,13,0.38461538461538464,1.0,161.71428571428572,14.0,170.0,66.0,2.989336406668786,2.729702601698412,8,0.8181818181818181,0.8636363636363636,0.4727272727272727,0.6505681818181819,0.5119318181818182,0.6332102272727272,C,False,False,False,True,False,1,REVIEW,3
6,CORE,0.5922727272727273,0,-1,동료 안,False,7,2100412,,방어형,방어형,3,1,Index + HY + Credit Stress + VIX + 10Y Real Yield + 10Y-2Y Spread + Bollinger Band,Index=EMA40_W45_S35_E25|HY=EMA80_W360_S75_E32|Credit Stress=EMA1_W60_S28_E25|VIX=EMA80_W360_S28_E10|10Y Real Yield=EMA40_W120_S18_E10|10Y-2Y Spread=EMA8_W360_S35_E18|Bollinger Band=BBW18_STD2p25|start_k=3|end_l=1,374.023309885705,789.6569560277803,,,-0.0861941606515785,-0.0874080095403532,0.2530554393749544,0.4803458678873761,0.3716673298846001,0.4689860834990059,11,18,0,0,0.0,0.0,84.9090909090909,131.05555555555554,True,True,False,0.6012023384066206,,0.7921791714286748,,role_filter_strict,same_structure_avoided,n7_2100412,1.0322815716654015,1.0580684983084652,0.011830613001709178,0.01061676411293444,GOOD,1.0,0.9821566111698116,0.9646229185299459,0.9304638105398544,789.6569560277803,775.5667999189136,761.7211975609906,734.7472203249107,1.0,1.0,1.0,0.0074707693440430045,-0.08740800954035322,0.030399559274829225,0.0007008159826895288,3,1,14,5,0.35714285714285715,645.8559833024588,446.52671097890993,175.68712773485223,-0.19275317526802993,-0.3832162395414197,1.2226517620693444,-0.10534516572767673,5,4/3,1/0,13,0.3076923076923077,1.0,158.83333333333334,17.0,159.0,85.0,3.0471472193981612,2.834085479670419,9,0.8522727272727273,0.7954545454545454,0.47727272727272724,0.6210227272727273,0.5045454545454546,0.6254829545454547,C,False,False,False,True,False,1,REVIEW,5
7,CORE,0.591875,0,6,동료 안,False,4,858399,,방어형,방어형,2,1,Index + HY + Credit Stress + 10Y Real Yield,Index=EMA10_W90_S35_E25|HY=EMA40_W480_S35_E25|Credit Stress=EMA1_W60_S28_E25|10Y Real Yield=EMA40_W120_S20_E10|start_k=2|end_l=1,442.376587882253,1552.2447323696688,,,-0.0960445475291299,-0.1013601439885968,0.2432050524974031,0.4663937334391325,0.2729805013927576,0.3208747514910536,13,29,3,7,0.2307692307692307,0.2413793103448276,52.76923076923077,55.6551724137931,True,True,False,0.9110776307663768,,0.8039525490800543,,role_filter_strict,same_structure_avoided,n4_858399,0.9708611579940175,0.8575716217133706,2.220446049250313e-16,0.026100003509222036,GOOD,1.0,0.9714094193743189,0.9436225637280631,0.8903717962447099,1552.2447323696688,1507.865154198065,1464.733153892048,1382.074930571371,1.0,1.0,1.0,0.026780756556298746,-0.10136014398859683,0.012724260415683374,0.003068961046776727,2,1,10,4,0.4,746.5212458778317,572.0443657550047,280.6641999651009,-0.3191053131820706,-0.4035771277255469,2.0793041603851337,-0.21774516919347378,1,2/1,1/0,13,0.8461538461538461,1.0,72.63636363636364,10.0,-31.454545454545453,15.0,2.691400428068591,2.1389547671979767,12,0.5,0.4840909090909091,0.6045454545454545,0.5295454545454547,0.672159090909091,0.5663636363636364,C,False,False,False,True,False,1,REVIEW,13
8,CORE,0.5750568181818182,0,-4,내 안,False,4,356122,균형형 정석,,균형형 정석,3,2,HY + IG + 10Y-3M Spread + 10Y Nominal Yield Slope,HY=EMA80_W360_S75_E32|IG=EMA5_W180_S20_E10|10Y-3M Spread=EMA80_W60_S62_E32|10Y Nominal Yield Slope=SW160_EMA40_W240_S35_E10|start_k=3|end_l=2,547.4756761895021,2291.8107513370505,350.23996883972313,609.8260976898191,-0.1190561676738747,-0.1599467727401186,0.2201934323526583,0.4078071046876107,0.176283326701154,0.2192842942345924,10,19,0,2,0.0,0.1052631578947368,44.3,58.05263157894737,True,True,False,0.942159389866242,0.7477979192938209,,권장조건,,,n4_356122,0.9074361523047106,0.9117445374959471,0.0032503215464048107,-3.3306690738754696e-16,GOOD,1.0,0.9811747000977953,0.9626946373158086,0.9267456771529389,2291.8107513370505,2248.6667266240333,2206.3139200548926,2123.9257066542405,1.0,1.0,1.0,0.05177566734160277,-0.1599467727401186,0.015029121698318722,0.023608201842322513,3,2,10,5,0.5,599.2156196542822,343.1474733257586,162.22861187482064,-0.16607655344204192,-0.3650142833770321,3.8246845979404074,-0.006129780701923326,1,3/2,1/0,13,0.7692307692307693,0.9230769230769231,88.27272727272727,40.0,-32.27272727272727,-4.0,2.1917115451138045,0.850526319484769,4,0.6170454545454546,0.7727272727272727,0.5954545454545455,0.7488636363636363,0.45397727272727273,0.6275568181818182,C,False,False,False,True,False,1,REVIEW,4
9,CORE,0.574375,0,11,내 안,False,8,5936469,균형형 정석,,균형형 정석,5,3,Index + HY + Credit Stress + 10Y Real Yield + 10Y-2Y Spread + 10Y-3M Spread + 10Y Nominal Yield Slope + Bollinger Band,Index=EMA10_W90_S35_E25|HY=EMA5_W60_S69_E25|Credit Stress=EMA1_W60_S28_E25|10Y Real Yield=EMA3_W180_S42_E32|10Y-2Y Spread=EMA40_W60_S82_E52|10Y-3M Spread=EMA80_W60_S62_E32|10Y Nominal Yield Slope=SW15_EMA10_W45_S75_E40|Bollinger Band=BBW15_STD2p25|start_k=5|end_l=3,590.9643351347793,2374.936098379087,350.23996883972313,609.8260976898191,-0.0882241346704152,-0.141058534682925,0.2510254653561178,0.4266953427448042,0.310783923597294,0.3176938369781312,22,40,3,6,0.1363636363636363,0.15,35.5,39.95,True,True,False,0.9332709312438964,0.7557910534469403,,권장조건,,,n8_5936469,0.9392219559423532,0.8708600791998667,4.440892098500626e-16,-0.004023460929103773,GOOD,1.0,0.9607798281021744,0.923079397837337,0.852007274832183,2374.936098379087,2281.7906963543082,2192.2545835939222,2023.462833080543,1.0,1.0,1.0,0.06086936844944524,-0.14105853468292506,0.02164309906156581,0.03050395506969482,5,3,19,4,0.21052631578947367,1200.6731875273385,484.86042630750046,184.60126785917083,-0.19388242072358508,-0.3921902537488686,1.9780037757568492,-0.05282388604066007,1,5/3,3/1,13,0.8461538461538461,1.0,52.81818181818182,32.0,-16.636363636363637,5.0,2.3792786754600748,0.9957194313444132,21,0.6113636363636363,0.1590909090909091,0.5727272727272728,0.45511363636363633,0.6903409090909091,0.5332102272727273,C,False,False,False,True,False,1,REVIEW,20
10,CORE,0.5705113636363637,0,-4,내 안,False,9,7586143,저휩쏘형,,저휩쏘형,6,4,Index + IG + Credit Stress + VIX Spread + 10Y Real Yield + 10Y-2Y Spread + 10Y-3M Spread + 10Y Nominal Yield Slope + Bollinger Band,Index=EMA40_W45_S35_E25|IG=EMA5_W180_S20_E10|Credit Stress=EMA1_W60_S28_E25|VIX Spread=EMA5_W120_S86_E40|10Y Real Yield=EMA3_W180_S42_E32|10Y-2Y Spread=EMA40_W60_S82_E52|10Y-3M Spread=EMA80_W60_S62_E32|10Y Nominal Yield Slope=SW160_EMA40_W240_S35_E10|Bollinger Band=BBW18_STD2p75|start_k=6|end_l=4,597.0374297547223,2343.9371355209178,350.23996883972313,609.8260976898191,-0.1027661709329137,-0.1644951981043219,0.2364834290936193,0.4032586793234074,0.1352964584162355,0.1572564612326043,6,13,0,0,0.0,0.0,56.666666666666664,60.84615384615385,True,True,True,0.9582998156547546,0.889142259414226,,권장조건,,,n9_7586143,0.9417863239151766,0.8873298289718397,2.220446049250313e-16,0.032078556743094566,GOOD,1.0,0.9870809259323295,0.9743224148844492,0.9492794371096939,2343.9371355209178,2313.6556380571596,2283.750490218079,2225.051324627805,1.0,1.0,1.0,0.062091001331971096,-0.1644951981043219,0.023515497539587097,0.03563927045422635,6,4,19,6,0.3157894736842105,1116.9434989510994,952.3683329920996,611.2103510003947,-0.19778210435681998,-0.4166475140144734,2.0985279360344236,-0.03328690625249808,1,6/4,4/2,13,0.8461538461538461,0.9230769230769231,44.63636363636363,23.0,-46.18181818181818,-45.0,2.0854622354709225,0.7355128172150964,3,0.5011363636363636,0.9772727272727273,0.55,0.6619318181818181,0.5085227272727273,0.6026420454545455,C,False,False,False,True,False,1,REVIEW,6
