parent_combo2_id,parent_display_slot,child_order,material50_index,material_combo1_lineage_id,child_combo1_id,child_n,child_K,child_L,child_candidate_set_id,child_candidate_ids,child_indicator_families,child_signal_hash,material_source_run_id,material_source_manifest,material_dictionary_sha256
combo2_m7_k4_l3_58c1eaea19e6d371,1,1,0,run_20260814T011500Z_kq5u_n10_official_beam_selection_v1::n=10|run=run_20260814T011500Z_kq5u_n10_official_beam_selection_v1|combo=combo1_n10_k7_l3_73a7886028ee8ceb,combo1_n10_k7_l3_73a7886028ee8ceb,10,7,3,candset_n10_73a7886028ee8ceb,kosdaq__global_credit_stress__EMA10_W240_S90_E65__3abaaf0327e0|kosdaq__kosdaq_bollinger__BBW40_STD2p0__6f09b03d46be|kosdaq__kosdaq_hv_n10__HV10_EMA40_W120_S35_E10__af6df2ea6c26|kosdaq__kosdaq_natr_n80__NATR80_EMA40_W120_S90_E65__7ed8b73cf6e8|kosdaq__kosdaq_rsi__RSI56_LB80_Q20_70__3fc6547435c1|kosdaq__us_10y_real_yield_level__EMA1_W240_S50_E25__5a2629fb61ad|kosdaq__us_10y_slope__SW160_EMA5_W240_S75_E40__835c910d240c|kosdaq__us_ig_oas_level__EMA1_W120_S50_E10__a7526119858c|kosdaq__vix_level__EMA40_W240_S50_E10__61053432e314|kosdaq__vix_spread__EMA20_W60_S75_E25__3019e1158854,global_credit_stress|kosdaq_bollinger|kosdaq_hv|kosdaq_natr|kosdaq_rsi|us_10y_real_yield_level|us_10y_slope|us_ig_oas_level|vix_level|vix_spread,aa57acfe5206f9f597fe30c4ea3340f1cdf0281966a533f60ac9538717518c07,run_20260814T011500Z_kq5u_n10_official_beam_selection_v1,manifests/kq5u_latest_n10_official_beam_selection.json,2a599f14fe46e7e6bb3fa0c6d8ea71ac8bd65b8e3eacd7e99b48e8ae888eef18
combo2_m7_k4_l3_58c1eaea19e6d371,1,2,6,run_20260814T011500Z_kq5u_n10_official_beam_selection_v1::n=10|run=run_20260814T011500Z_kq5u_n10_official_beam_selection_v1|combo=combo1_n10_k7_l4_80fdb06a03f192a1,combo1_n10_k7_l4_80fdb06a03f192a1,10,7,4,candset_n10_80fdb06a03f192a1,kosdaq__global_credit_stress__EMA10_W240_S90_E65__3abaaf0327e0|kosdaq__kosdaq_hv_n20__HV20_EMA1_W480_S50_E10__e2aceaeebbfc|kosdaq__kosdaq_natr_n80__NATR80_EMA40_W120_S90_E65__7ed8b73cf6e8|kosdaq__kosdaq_rsi__RSI56_LB40_Q10_90__b7288bd1bb35|kosdaq__us_10y_2y_spread__EMA80_W480_S90_E65__40c06c366bfe|kosdaq__us_10y_real_yield_level__EMA1_W240_S50_E25__5a2629fb61ad|kosdaq__us_10y_slope__SW160_EMA20_W240_S75_E40__53e8ce6622e7|kosdaq__us_hy_oas_level__EMA1_W240_S75_E65__e1d7b81be7ae|kosdaq__usdkrw_level__EMA80_W240_S35_E25__c7f847481989|kosdaq__vix_level__EMA40_W240_S50_E10__61053432e314,global_credit_stress|kosdaq_hv|kosdaq_natr|kosdaq_rsi|us_10y_2y_spread|us_10y_real_yield_level|us_10y_slope|us_hy_oas_level|usdkrw_level|vix_level,8fd898dc43bd2b56b2ca20823e64b833a60ebf53f64bd86de85e3113d40f20f2,run_20260814T011500Z_kq5u_n10_official_beam_selection_v1,manifests/kq5u_latest_n10_official_beam_selection.json,2a599f14fe46e7e6bb3fa0c6d8ea71ac8bd65b8e3eacd7e99b48e8ae888eef18
combo2_m7_k4_l3_58c1eaea19e6d371,1,3,9,run_20260814T011500Z_kq5u_n10_official_beam_selection_v1::n=10|run=run_20260814T011500Z_kq5u_n10_official_beam_selection_v1|combo=combo1_n10_k7_l5_e125f3bc8c496045,combo1_n10_k7_l5_e125f3bc8c496045,10,7,5,candset_n10_e125f3bc8c496045,kosdaq__global_credit_stress__EMA10_W240_S35_E10__7c84f42b3084|kosdaq__kosdaq_bollinger__BBW40_STD1p5__f6956a4aa7f2|kosdaq__kosdaq_hv_n20__HV20_EMA1_W480_S50_E10__e2aceaeebbfc|kosdaq__kosdaq_index_level__EMA80_W480_S90_E25__bcefe260adce|kosdaq__kosdaq_natr_n10__NATR10_EMA10_W120_S90_E10__9b489204b132|kosdaq__us_10y_2y_spread__EMA80_W480_S90_E65__40c06c366bfe|kosdaq__us_10y_slope__SW160_EMA80_W60_S75_E25__e785c7e9d153|kosdaq__us_hy_oas_level__EMA1_W240_S35_E10__e442e94be5ef|kosdaq__usdkrw_level__EMA80_W240_S35_E25__c7f847481989|kosdaq__vix_level__EMA1_W120_S50_E10__121f89c89e1e,global_credit_stress|kosdaq_bollinger|kosdaq_hv|kosdaq_index_level|kosdaq_natr|us_10y_2y_spread|us_10y_slope|us_hy_oas_level|usdkrw_level|vix_level,9b52f6ae26078fef25217e0d9cb894dd1fb1731c558603e17496a40c0e05ba34,run_20260814T011500Z_kq5u_n10_official_beam_selection_v1,manifests/kq5u_latest_n10_official_beam_selection.json,2a599f14fe46e7e6bb3fa0c6d8ea71ac8bd65b8e3eacd7e99b48e8ae888eef18
combo2_m7_k4_l3_58c1eaea19e6d371,1,4,16,run_20260813T231500Z_kq5s_n9_official_beam_selection_v1::n=9|run=run_20260813T231500Z_kq5s_n9_official_beam_selection_v1|combo=combo1_n9_k7_l4_416b7b915cccc390,combo1_n9_k7_l4_416b7b915cccc390,9,7,4,candset_n9_416b7b915cccc390,kosdaq__global_credit_stress__EMA10_W240_S90_E65__3abaaf0327e0|kosdaq__kosdaq_hv_n20__HV20_EMA1_W480_S50_E10__e2aceaeebbfc|kosdaq__kosdaq_index_level__EMA80_W480_S90_E25__bcefe260adce|kosdaq__kosdaq_natr_n80__NATR80_EMA40_W120_S90_E65__7ed8b73cf6e8|kosdaq__kosdaq_rsi__RSI56_LB40_Q10_90__b7288bd1bb35|kosdaq__us_10y_2y_spread__EMA40_W480_S90_E80__20966d2b785f|kosdaq__us_10y_3m_spread__EMA80_W60_S90_E25__570640ecf4ca|kosdaq__us_10y_slope__SW160_EMA20_W240_S75_E40__53e8ce6622e7|kosdaq__us_hy_oas_level__EMA40_W480_S90_E80__022ac07524f5,global_credit_stress|kosdaq_hv|kosdaq_index_level|kosdaq_natr|kosdaq_rsi|us_10y_2y_spread|us_10y_3m_spread|us_10y_slope|us_hy_oas_level,085a1b5dfc67ae17866a07cf4a3e9c3bd691717b719ffb099f608ab24188efff,run_20260813T231500Z_kq5s_n9_official_beam_selection_v1,manifests/kq5s_latest_n9_official_beam_selection.json,2a599f14fe46e7e6bb3fa0c6d8ea71ac8bd65b8e3eacd7e99b48e8ae888eef18
combo2_m7_k4_l3_58c1eaea19e6d371,1,5,35,run_20260813T231500Z_kq5s_n9_official_beam_selection_v1::n=9|run=run_20260813T231500Z_kq5s_n9_official_beam_selection_v1|combo=combo1_n9_k7_l4_e5d359510ef84806,combo1_n9_k7_l4_e5d359510ef84806,9,7,4,candset_n9_e5d359510ef84806,kosdaq__global_credit_stress__EMA10_W240_S90_E65__3abaaf0327e0|kosdaq__kosdaq_hv_n20__HV20_EMA1_W480_S50_E10__e2aceaeebbfc|kosdaq__kosdaq_natr_n20__NATR20_EMA1_W120_S35_E10__aeea94540ff0|kosdaq__kosdaq_rsi__RSI56_LB40_Q10_90__b7288bd1bb35|kosdaq__us_10y_slope__SW160_EMA20_W240_S75_E40__53e8ce6622e7|kosdaq__us_hy_oas_level__EMA40_W480_S90_E80__022ac07524f5|kosdaq__usdkrw_level__EMA80_W240_S35_E25__c7f847481989|kosdaq__vix_level__EMA1_W120_S50_E10__121f89c89e1e|kosdaq__vix_spread__EMA20_W60_S75_E25__3019e1158854,global_credit_stress|kosdaq_hv|kosdaq_natr|kosdaq_rsi|us_10y_slope|us_hy_oas_level|usdkrw_level|vix_level|vix_spread,eba7dc33780d4dc4520000f1cf7d1b583bea874b887a0b5341d6f7306a171bc2,run_20260813T231500Z_kq5s_n9_official_beam_selection_v1,manifests/kq5s_latest_n9_official_beam_selection.json,2a599f14fe46e7e6bb3fa0c6d8ea71ac8bd65b8e3eacd7e99b48e8ae888eef18
combo2_m7_k4_l3_58c1eaea19e6d371,1,6,46,run_20260813T231000Z_kq5p_r1_n8_b3_b4_recovery_v1::n=8|run=run_20260813T231000Z_kq5p_r1_n8_b3_b4_recovery_v1|combo=combo1_n8_k7_l5_697a8d624a625102,combo1_n8_k7_l5_697a8d624a625102,8,7,5,candset_n8_697a8d624a625102,kosdaq__global_credit_stress__EMA10_W240_S90_E65__3abaaf0327e0|kosdaq__kosdaq_hv_n20__HV20_EMA1_W480_S50_E10__e2aceaeebbfc|kosdaq__kosdaq_natr_n80__NATR80_EMA40_W120_S90_E65__7ed8b73cf6e8|kosdaq__kosdaq_rsi__RSI56_LB40_Q10_90__b7288bd1bb35|kosdaq__us_10y_slope__SW160_EMA5_W240_S75_E40__835c910d240c|kosdaq__us_hy_oas_level__EMA40_W480_S90_E80__022ac07524f5|kosdaq__usdkrw_level__EMA80_W240_S35_E25__c7f847481989|kosdaq__vix_level__EMA1_W120_S50_E10__121f89c89e1e,global_credit_stress|kosdaq_hv|kosdaq_natr|kosdaq_rsi|us_10y_slope|us_hy_oas_level|usdkrw_level|vix_level,8e8029e8aaa0adc9d6d2a18d32e87c500303156eb20a6303dd3f6f7d89e766a9,run_20260813T231000Z_kq5p_r1_n8_b3_b4_recovery_v1,manifests/kq5p_latest_n8_official_beam_selection.json,2a599f14fe46e7e6bb3fa0c6d8ea71ac8bd65b8e3eacd7e99b48e8ae888eef18
combo2_m7_k4_l3_58c1eaea19e6d371,1,7,49,run_20260813T231500Z_kq5s_n9_official_beam_selection_v1::n=9|run=run_20260813T231500Z_kq5s_n9_official_beam_selection_v1|combo=combo1_n9_k7_l5_6924115bc688fca5,combo1_n9_k7_l5_6924115bc688fca5,9,7,5,candset_n9_6924115bc688fca5,kosdaq__global_credit_stress__EMA1_W240_S20_E10__b290bc5e03d6|kosdaq__kosdaq_hv_n20__HV20_EMA1_W480_S50_E10__e2aceaeebbfc|kosdaq__kosdaq_index_level__EMA5_W240_S75_E65__eb4e58932819|kosdaq__kosdaq_rsi__RSI56_LB40_Q10_90__b7288bd1bb35|kosdaq__us_10y_3m_spread__EMA20_W240_S90_E10__25a785782442|kosdaq__us_10y_slope__SW160_EMA20_W240_S75_E40__53e8ce6622e7|kosdaq__us_ig_oas_level__EMA10_W480_S20_E10__2b41694cec57|kosdaq__usdkrw_level__EMA80_W240_S35_E25__c7f847481989|kosdaq__vix_level__EMA1_W120_S50_E10__121f89c89e1e,global_credit_stress|kosdaq_hv|kosdaq_index_level|kosdaq_rsi|us_10y_3m_spread|us_10y_slope|us_ig_oas_level|usdkrw_level|vix_level,c1950ff2e611f54e2800f3d86e6e5c909905bc9c6c6e025a93377abc4c44a7d9,run_20260813T231500Z_kq5s_n9_official_beam_selection_v1,manifests/kq5s_latest_n9_official_beam_selection.json,2a599f14fe46e7e6bb3fa0c6d8ea71ac8bd65b8e3eacd7e99b48e8ae888eef18
combo2_m8_k6_l5_9789467e69e7b1e9,2,1,0,run_20260814T011500Z_kq5u_n10_official_beam_selection_v1::n=10|run=run_20260814T011500Z_kq5u_n10_official_beam_selection_v1|combo=combo1_n10_k7_l3_73a7886028ee8ceb,combo1_n10_k7_l3_73a7886028ee8ceb,10,7,3,candset_n10_73a7886028ee8ceb,kosdaq__global_credit_stress__EMA10_W240_S90_E65__3abaaf0327e0|kosdaq__kosdaq_bollinger__BBW40_STD2p0__6f09b03d46be|kosdaq__kosdaq_hv_n10__HV10_EMA40_W120_S35_E10__af6df2ea6c26|kosdaq__kosdaq_natr_n80__NATR80_EMA40_W120_S90_E65__7ed8b73cf6e8|kosdaq__kosdaq_rsi__RSI56_LB80_Q20_70__3fc6547435c1|kosdaq__us_10y_real_yield_level__EMA1_W240_S50_E25__5a2629fb61ad|kosdaq__us_10y_slope__SW160_EMA5_W240_S75_E40__835c910d240c|kosdaq__us_ig_oas_level__EMA1_W120_S50_E10__a7526119858c|kosdaq__vix_level__EMA40_W240_S50_E10__61053432e314|kosdaq__vix_spread__EMA20_W60_S75_E25__3019e1158854,global_credit_stress|kosdaq_bollinger|kosdaq_hv|kosdaq_natr|kosdaq_rsi|us_10y_real_yield_level|us_10y_slope|us_ig_oas_level|vix_level|vix_spread,aa57acfe5206f9f597fe30c4ea3340f1cdf0281966a533f60ac9538717518c07,run_20260814T011500Z_kq5u_n10_official_beam_selection_v1,manifests/kq5u_latest_n10_official_beam_selection.json,2a599f14fe46e7e6bb3fa0c6d8ea71ac8bd65b8e3eacd7e99b48e8ae888eef18
combo2_m8_k6_l5_9789467e69e7b1e9,2,2,1,run_20260813T231500Z_kq5s_n9_official_beam_selection_v1::n=9|run=run_20260813T231500Z_kq5s_n9_official_beam_selection_v1|combo=combo1_n9_k6_l3_eb2681f38d934aeb,combo1_n9_k6_l3_eb2681f38d934aeb,9,6,3,candset_n9_eb2681f38d934aeb,kosdaq__global_credit_stress__EMA10_W240_S35_E10__7c84f42b3084|kosdaq__kosdaq_bollinger__BBW40_STD1p5__f6956a4aa7f2|kosdaq__kosdaq_hv_n20__HV20_EMA5_W120_S75_E10__ec5825732fa6|kosdaq__kosdaq_natr_n20__NATR20_EMA1_W120_S35_E10__aeea94540ff0|kosdaq__us_10y_real_yield_level__EMA1_W240_S50_E25__5a2629fb61ad|kosdaq__us_10y_slope__SW160_EMA5_W240_S75_E40__835c910d240c|kosdaq__us_hy_oas_level__EMA40_W480_S90_E80__022ac07524f5|kosdaq__usdkrw_level__EMA80_W240_S35_E25__c7f847481989|kosdaq__vix_spread__EMA10_W120_S35_E10__33f4311a6e24,global_credit_stress|kosdaq_bollinger|kosdaq_hv|kosdaq_natr|us_10y_real_yield_level|us_10y_slope|us_hy_oas_level|usdkrw_level|vix_spread,8aa4220676f0f97ae7001d26e81d1a2698ea329e0f6699760dd805039415a9f0,run_20260813T231500Z_kq5s_n9_official_beam_selection_v1,manifests/kq5s_latest_n9_official_beam_selection.json,2a599f14fe46e7e6bb3fa0c6d8ea71ac8bd65b8e3eacd7e99b48e8ae888eef18
combo2_m8_k6_l5_9789467e69e7b1e9,2,3,6,run_20260814T011500Z_kq5u_n10_official_beam_selection_v1::n=10|run=run_20260814T011500Z_kq5u_n10_official_beam_selection_v1|combo=combo1_n10_k7_l4_80fdb06a03f192a1,combo1_n10_k7_l4_80fdb06a03f192a1,10,7,4,candset_n10_80fdb06a03f192a1,kosdaq__global_credit_stress__EMA10_W240_S90_E65__3abaaf0327e0|kosdaq__kosdaq_hv_n20__HV20_EMA1_W480_S50_E10__e2aceaeebbfc|kosdaq__kosdaq_natr_n80__NATR80_EMA40_W120_S90_E65__7ed8b73cf6e8|kosdaq__kosdaq_rsi__RSI56_LB40_Q10_90__b7288bd1bb35|kosdaq__us_10y_2y_spread__EMA80_W480_S90_E65__40c06c366bfe|kosdaq__us_10y_real_yield_level__EMA1_W240_S50_E25__5a2629fb61ad|kosdaq__us_10y_slope__SW160_EMA20_W240_S75_E40__53e8ce6622e7|kosdaq__us_hy_oas_level__EMA1_W240_S75_E65__e1d7b81be7ae|kosdaq__usdkrw_level__EMA80_W240_S35_E25__c7f847481989|kosdaq__vix_level__EMA40_W240_S50_E10__61053432e314,global_credit_stress|kosdaq_hv|kosdaq_natr|kosdaq_rsi|us_10y_2y_spread|us_10y_real_yield_level|us_10y_slope|us_hy_oas_level|usdkrw_level|vix_level,8fd898dc43bd2b56b2ca20823e64b833a60ebf53f64bd86de85e3113d40f20f2,run_20260814T011500Z_kq5u_n10_official_beam_selection_v1,manifests/kq5u_latest_n10_official_beam_selection.json,2a599f14fe46e7e6bb3fa0c6d8ea71ac8bd65b8e3eacd7e99b48e8ae888eef18
