model_family,display_slot,display_role,candidate_id,n_or_m,K,L,candidate_set_id,lineage_id,candidate_ids,indicator_families,evaluation_start,evaluation_end,transaction_cost_bps,CAGR,MDD,Calmar,risk_off_ratio,cycle_count,short_cycle_ratio,definition_sha256,source_artifact_path,source_artifact_sha256,selection_status
COMBO1,1,최고 성과형,combo1_n10_k8_l5_7d675fa2173be942,10,8,5,candset_n10_7d675fa2173be942,lin_n10_574fa132a0d7de62,kosdaq__global_credit_stress__EMA10_W240_S90_E65__3abaaf0327e0|kosdaq__kosdaq_bollinger__BBW40_STD2p0__6f09b03d46be|kosdaq__kosdaq_hv_n20__HV20_EMA1_W480_S50_E10__e2aceaeebbfc|kosdaq__kosdaq_natr_n20__NATR20_EMA1_W120_S35_E10__aeea94540ff0|kosdaq__kosdaq_rsi__RSI56_LB40_Q10_90__b7288bd1bb35|kosdaq__us_10y_slope__SW160_EMA5_W240_S75_E40__835c910d240c|kosdaq__us_hy_oas_level__EMA40_W480_S90_E80__022ac07524f5|kosdaq__us_ig_oas_level__EMA10_W480_S20_E10__2b41694cec57|kosdaq__usdkrw_level__EMA80_W240_S35_E25__c7f847481989|kosdaq__vix_level__EMA1_W120_S50_E10__121f89c89e1e,global_credit_stress|kosdaq_bollinger|kosdaq_hv|kosdaq_natr|kosdaq_rsi|us_10y_slope|us_hy_oas_level|us_ig_oas_level|usdkrw_level|vix_level,2008-04-01,2026-07-28,10.0,0.17340560571084151,-0.20017064543079077,0.8662888873523501,0.3061088977423639,22,,b7ed361b786ce2145763bc089eaada473ecef25b81de6916c240bac1031cead3,/Users/ibaeksan/Documents/프로젝트/macro_dashboard_kosdaq/outputs/kosdaq/run_20260814T011500Z_kq5u_n10_official_beam_selection_v1/05u_n10_official_beam_selection/kq5u_n10_official_beam.parquet,371746e7c2a9ac12f3806e0acee967b63a40509349b61393248fb6e77e39c775,USER_LOCKED_FINAL10
COMBO1,2,사이클·수익형,combo1_n9_k7_l5_ef47fc166183b7f0,9,7,5,candset_n9_ef47fc166183b7f0,lin_n9_2afe2c9a83ee5efb,kosdaq__global_credit_stress__EMA10_W240_S35_E10__7c84f42b3084|kosdaq__kosdaq_hv_n20__HV20_EMA1_W480_S50_E10__e2aceaeebbfc|kosdaq__kosdaq_rsi__RSI56_LB40_Q10_90__b7288bd1bb35|kosdaq__us_10y_3m_spread__EMA80_W60_S90_E25__570640ecf4ca|kosdaq__us_10y_slope__SW160_EMA5_W240_S75_E40__835c910d240c|kosdaq__us_hy_oas_level__EMA40_W480_S90_E80__022ac07524f5|kosdaq__us_ig_oas_level__EMA10_W480_S20_E10__2b41694cec57|kosdaq__usdkrw_level__EMA80_W240_S35_E25__c7f847481989|kosdaq__vix_level__EMA1_W120_S50_E10__121f89c89e1e,global_credit_stress|kosdaq_hv|kosdaq_rsi|us_10y_3m_spread|us_10y_slope|us_hy_oas_level|us_ig_oas_level|usdkrw_level|vix_level,2008-04-01,2026-07-28,10.0,0.16826259925180143,-0.20017064543079077,0.8405957771164724,0.30765825586542717,26,,0a6570e45087d9265fb16f14b92533e141b047b3b718a36fa8a65f58fa3c7c35,/Users/ibaeksan/Documents/프로젝트/macro_dashboard_kosdaq/outputs/kosdaq/run_20260813T231500Z_kq5s_n9_official_beam_selection_v1/05s_n9_official_beam_selection/kq5s_n9_official_beam.parquet,5bbf8517478c3ceb07e99b07f08fd11abd5cbd34e09f3e7617117732b9df18ef,USER_LOCKED_FINAL10
COMBO1,3,MDD 방어형,combo1_n10_k7_l3_73a7886028ee8ceb,10,7,3,candset_n10_73a7886028ee8ceb,lin_n10_66f573cb789bcbf9,kosdaq__global_credit_stress__EMA10_W240_S90_E65__3abaaf0327e0|kosdaq__kosdaq_bollinger__BBW40_STD2p0__6f09b03d46be|kosdaq__kosdaq_hv_n10__HV10_EMA40_W120_S35_E10__af6df2ea6c26|kosdaq__kosdaq_natr_n80__NATR80_EMA40_W120_S90_E65__7ed8b73cf6e8|kosdaq__kosdaq_rsi__RSI56_LB80_Q20_70__3fc6547435c1|kosdaq__us_10y_real_yield_level__EMA1_W240_S50_E25__5a2629fb61ad|kosdaq__us_10y_slope__SW160_EMA5_W240_S75_E40__835c910d240c|kosdaq__us_ig_oas_level__EMA1_W120_S50_E10__a7526119858c|kosdaq__vix_level__EMA40_W240_S50_E10__61053432e314|kosdaq__vix_spread__EMA20_W60_S75_E25__3019e1158854,global_credit_stress|kosdaq_bollinger|kosdaq_hv|kosdaq_natr|kosdaq_rsi|us_10y_real_yield_level|us_10y_slope|us_ig_oas_level|vix_level|vix_spread,2008-04-01,2026-07-28,10.0,0.14567317116870737,-0.17552370452039756,0.8299344613694541,0.5112881806108898,17,,9a28d10ba219bb52b7a447f994134836ba0a9ba04ecde878ee4ea47d91e35ba5,/Users/ibaeksan/Documents/프로젝트/macro_dashboard_kosdaq/outputs/kosdaq/run_20260814T011500Z_kq5u_n10_official_beam_selection_v1/05u_n10_official_beam_selection/kq5u_n10_official_beam.parquet,371746e7c2a9ac12f3806e0acee967b63a40509349b61393248fb6e77e39c775,USER_LOCKED_FINAL10
COMBO1,4,균형형,combo1_n9_k6_l3_eb2681f38d934aeb,9,6,3,candset_n9_eb2681f38d934aeb,lin_n9_bff78ecc8b07857d,kosdaq__global_credit_stress__EMA10_W240_S35_E10__7c84f42b3084|kosdaq__kosdaq_bollinger__BBW40_STD1p5__f6956a4aa7f2|kosdaq__kosdaq_hv_n20__HV20_EMA5_W120_S75_E10__ec5825732fa6|kosdaq__kosdaq_natr_n20__NATR20_EMA1_W120_S35_E10__aeea94540ff0|kosdaq__us_10y_real_yield_level__EMA1_W240_S50_E25__5a2629fb61ad|kosdaq__us_10y_slope__SW160_EMA5_W240_S75_E40__835c910d240c|kosdaq__us_hy_oas_level__EMA40_W480_S90_E80__022ac07524f5|kosdaq__usdkrw_level__EMA80_W240_S35_E25__c7f847481989|kosdaq__vix_spread__EMA10_W120_S35_E10__33f4311a6e24,global_credit_stress|kosdaq_bollinger|kosdaq_hv|kosdaq_natr|us_10y_real_yield_level|us_10y_slope|us_hy_oas_level|usdkrw_level|vix_spread,2008-04-01,2026-07-28,10.0,0.15309297242648934,-0.18647622491412108,0.8209785054206995,0.5314298362107127,19,,bcc66a0ac0312360b45ef8f5e772e5c8947a166b1fce71194dfe7ccce7f11434,/Users/ibaeksan/Documents/프로젝트/macro_dashboard_kosdaq/outputs/kosdaq/run_20260813T231500Z_kq5s_n9_official_beam_selection_v1/05s_n9_official_beam_selection/kq5s_n9_official_beam.parquet,5bbf8517478c3ceb07e99b07f08fd11abd5cbd34e09f3e7617117732b9df18ef,USER_LOCKED_FINAL10
COMBO1,5,다양성·구조형,combo1_n8_k6_l3_68fad8e1263e8016,8,6,3,candset_n8_68fad8e1263e8016,lin_n8_7afe9e6cd98fa265,kosdaq__global_credit_stress__EMA10_W240_S90_E65__3abaaf0327e0|kosdaq__kosdaq_index_level__EMA10_W120_S20_E10__be5757c4967c|kosdaq__kosdaq_natr_n80__NATR80_EMA40_W120_S90_E65__7ed8b73cf6e8|kosdaq__kosdaq_rsi__RSI56_LB40_Q10_90__b7288bd1bb35|kosdaq__us_10y_slope__SW160_EMA5_W240_S75_E40__835c910d240c|kosdaq__usdkrw_level__EMA80_W240_S35_E25__c7f847481989|kosdaq__vix_level__EMA1_W120_S50_E10__121f89c89e1e|kosdaq__vix_spread__EMA10_W120_S35_E10__33f4311a6e24,global_credit_stress|kosdaq_index_level|kosdaq_natr|kosdaq_rsi|us_10y_slope|usdkrw_level|vix_level|vix_spread,2008-04-01,2026-07-28,10.0,0.15162599698664825,-0.18647622491412053,0.8131116825025703,0.4041611332447986,18,,cbd40921a103033666cf82990a5358a114bd703b669ddda8e0db80f7a146a9cb,/Users/ibaeksan/Documents/프로젝트/macro_dashboard_kosdaq/outputs/kosdaq/run_20260813T231000Z_kq5p_r1_n8_b3_b4_recovery_v1/05p_r1_n8_b3_b4_recovery/kq5p_r1_n8_official_beam.parquet,3f1622fe70cd14695053299057935b12326ed8cc1894d9a315f9ba1e80fb3bac,USER_LOCKED_FINAL10
COMBO2,1,성과 대표,combo2_m7_k4_l3_58c1eaea19e6d371,7,4,3,58c1eaea19e6d371,n=10|run=run_20260814T011500Z_kq5u_n10_official_beam_selection_v1|combo=combo1_n10_k7_l3_73a7886028ee8ceb|n=10|run=run_20260814T011500Z_kq5u_n10_official_beam_selection_v1|combo=combo1_n10_k7_l4_80fdb06a03f192a1|n=10|run=run_20260814T011500Z_kq5u_n10_official_beam_selection_v1|combo=combo1_n10_k7_l5_e125f3bc8c496045|n=9|run=run_20260813T231500Z_kq5s_n9_official_beam_selection_v1|combo=combo1_n9_k7_l4_416b7b915cccc390|n=9|run=run_20260813T231500Z_kq5s_n9_official_beam_selection_v1|combo=combo1_n9_k7_l4_e5d359510ef84806|n=8|run=run_20260813T231000Z_kq5p_r1_n8_b3_b4_recovery_v1|combo=combo1_n8_k7_l5_697a8d624a625102|n=9|run=run_20260813T231500Z_kq5s_n9_official_beam_selection_v1|combo=combo1_n9_k7_l5_6924115bc688fca5,,,2008-04-01,2026-07-28,10.0,0.218679807648529,-0.18647622491412086,1.1726953811363303,0.37649402390438247,30,0.2,92d898f123259884db348faf678c64245827d8bf1f3da33518a27e9b473a82ab,/Users/ibaeksan/Documents/프로젝트/macro_dashboard_kosdaq/outputs/kosdaq/run_20260816T032000Z_kq_c2_15_performance50_review20_v1/c2_15_performance50_review20/05_review20.parquet,984701699ba395617264e464e0c1efaa1fafa5d6a49dd9d90a2cbb9cdcc30106,USER_LOCKED_FINAL10
COMBO2,2,고성과 균형형,combo2_m8_k6_l5_9789467e69e7b1e9,8,6,5,9789467e69e7b1e9,n=10|run=run_20260814T011500Z_kq5u_n10_official_beam_selection_v1|combo=combo1_n10_k7_l3_73a7886028ee8ceb|n=9|run=run_20260813T231500Z_kq5s_n9_official_beam_selection_v1|combo=combo1_n9_k6_l3_eb2681f38d934aeb|n=10|run=run_20260814T011500Z_kq5u_n10_official_beam_selection_v1|combo=combo1_n10_k7_l4_80fdb06a03f192a1|n=10|run=run_20260814T011500Z_kq5u_n10_official_beam_selection_v1|combo=combo1_n10_k7_l5_e125f3bc8c496045|n=8|run=run_20260813T231000Z_kq5p_r1_n8_b3_b4_recovery_v1|combo=combo1_n8_k6_l3_3240f4fb02b42a1f|n=10|run=run_20260814T011500Z_kq5u_n10_official_beam_selection_v1|combo=combo1_n10_k7_l4_e1dc744f57455b12|n=9|run=run_20260813T231500Z_kq5s_n9_official_beam_selection_v1|combo=combo1_n9_k7_l5_31ce26c4e5a03c0b|n=9|run=run_20260813T231500Z_kq5s_n9_official_beam_selection_v1|combo=combo1_n9_k7_l4_0fb76c7d2efb85f1,,,2008-04-01,2026-07-28,10.0,0.21092321653870294,-0.18647622491412053,1.1310997776571314,0.28419654714475434,24,0.16666666666666666,c81201de78f20437824ae891e9b4902e0c48fc6e529c2ffe0d0ba55a83592268,/Users/ibaeksan/Documents/프로젝트/macro_dashboard_kosdaq/outputs/kosdaq/run_20260816T032000Z_kq_c2_15_performance50_review20_v1/c2_15_performance50_review20/05_review20.parquet,984701699ba395617264e464e0c1efaa1fafa5d6a49dd9d90a2cbb9cdcc30106,USER_LOCKED_FINAL10
COMBO2,3,안정적 균형형,combo2_m5_k3_l2_50e15ab10d6cba46,5,3,2,50e15ab10d6cba46,n=10|run=run_20260814T011500Z_kq5u_n10_official_beam_selection_v1|combo=combo1_n10_k8_l5_8d5c7cdb22ed1045|n=10|run=run_20260814T011500Z_kq5u_n10_official_beam_selection_v1|combo=combo1_n10_k7_l4_80fdb06a03f192a1|n=10|run=run_20260814T011500Z_kq5u_n10_official_beam_selection_v1|combo=combo1_n10_k7_l5_e125f3bc8c496045|n=9|run=run_20260813T231500Z_kq5s_n9_official_beam_selection_v1|combo=combo1_n9_k7_l4_978efc1005abd415|n=9|run=run_20260813T231500Z_kq5s_n9_official_beam_selection_v1|combo=combo1_n9_k7_l5_6924115bc688fca5,,,2008-04-01,2026-07-28,10.0,0.20726018856327766,-0.1864762249141202,1.1114563728364264,0.32647189021691014,25,0.12,ffbbd9847189da35bf17b6a35d4cdceb0910ebca693f451b75b1a6414eebf989,/Users/ibaeksan/Documents/프로젝트/macro_dashboard_kosdaq/outputs/kosdaq/run_20260816T032000Z_kq_c2_15_performance50_review20_v1/c2_15_performance50_review20/05_review20.parquet,984701699ba395617264e464e0c1efaa1fafa5d6a49dd9d90a2cbb9cdcc30106,USER_LOCKED_FINAL10
COMBO2,4,효율형,combo2_m8_k6_l5_dc78b72794ed82f2,8,6,5,dc78b72794ed82f2,n=9|run=run_20260813T231500Z_kq5s_n9_official_beam_selection_v1|combo=combo1_n9_k6_l3_eb2681f38d934aeb|n=10|run=run_20260814T011500Z_kq5u_n10_official_beam_selection_v1|combo=combo1_n10_k7_l4_80fdb06a03f192a1|n=6|run=run_20260812T212222Z_kq5f_n6_beam_selection_v1|combo=kq5e_n6_k5_l2_789e7ad271377187|n=9|run=run_20260813T231500Z_kq5s_n9_official_beam_selection_v1|combo=combo1_n9_k7_l3_11cb04c98faf1efa|n=9|run=run_20260813T231500Z_kq5s_n9_official_beam_selection_v1|combo=combo1_n9_k7_l5_31ce26c4e5a03c0b|n=10|run=run_20260814T011500Z_kq5u_n10_official_beam_selection_v1|combo=combo1_n10_k7_l5_649e418e7f4875bf|n=9|run=run_20260813T231500Z_kq5s_n9_official_beam_selection_v1|combo=combo1_n9_k7_l4_0fb76c7d2efb85f1|n=9|run=run_20260813T231500Z_kq5s_n9_official_beam_selection_v1|combo=combo1_n9_k7_l3_77cf330480517151,,,2008-04-01,2026-07-28,10.0,0.20326546142913515,-0.1864762249141203,1.0900341934889928,0.2472332890659584,21,0.14285714285714285,51b4394132a107ea3ba02b9a24a0623772c637b743c3530546dd86e59fddddb3,/Users/ibaeksan/Documents/프로젝트/macro_dashboard_kosdaq/outputs/kosdaq/run_20260816T032000Z_kq_c2_15_performance50_review20_v1/c2_15_performance50_review20/05_review20.parquet,984701699ba395617264e464e0c1efaa1fafa5d6a49dd9d90a2cbb9cdcc30106,USER_LOCKED_FINAL10
COMBO2,5,MDD 방어형,combo2_m6_k3_l2_32c73aa82d8abc21,6,3,2,32c73aa82d8abc21,n=10|run=run_20260814T011500Z_kq5u_n10_official_beam_selection_v1|combo=combo1_n10_k7_l4_80fdb06a03f192a1|n=8|run=run_20260813T231000Z_kq5p_r1_n8_b3_b4_recovery_v1|combo=combo1_n8_k6_l3_3240f4fb02b42a1f|n=10|run=run_20260814T011500Z_kq5u_n10_official_beam_selection_v1|combo=combo1_n10_k7_l4_508ecaa02ab4a040|n=6|run=run_20260812T212222Z_kq5f_n6_beam_selection_v1|combo=kq5e_n6_k5_l2_789e7ad271377187|n=9|run=run_20260813T231500Z_kq5s_n9_official_beam_selection_v1|combo=combo1_n9_k6_l3_7636db4192f6dc7b|n=9|run=run_20260813T231500Z_kq5s_n9_official_beam_selection_v1|combo=combo1_n9_k7_l5_6924115bc688fca5,,,2008-04-01,2026-07-28,10.0,0.19036541261002848,-0.175523704520397,1.0845567163146717,0.5482514386896857,24,0.125,ecce38ab654149226e95f312e0a336ba9862361e46bed3755fe37f7ce84149a2,/Users/ibaeksan/Documents/프로젝트/macro_dashboard_kosdaq/outputs/kosdaq/run_20260816T032000Z_kq_c2_15_performance50_review20_v1/c2_15_performance50_review20/05_review20.parquet,984701699ba395617264e464e0c1efaa1fafa5d6a49dd9d90a2cbb9cdcc30106,USER_LOCKED_FINAL10
