parent_candidate_id,parent_family,parent_selection_type,parent_display_order,child_order,child_canonical_parent_id,child_n,child_K,child_L,child_component_ids_key,child_family_set_key,definition_source_path,definition_source_match_count
m7|n10|nq5e10_9bd42da1c1a6841b|n6|nq5e6_2c78a53ac6e928f8|n6|nq5e6_415194320e4754e5|n6|nq5e6_8b7fdbbd5d8db54a|n8|nq5e8_be766ae57cfa9042|n8|nq5e8_f2b2eadb0bc3f323|n9|nq5e9_c796e1a7980688d2|K3|L2,Combo2,Performance,11,1,n10|nq5e10_9bd42da1c1a6841b,10,5,4,nasdaq__global_credit_stress__EMA10_W240_S35_E25__4af539a6652e|nasdaq__ndx_bollinger__BBW80_STD3p0__e14d67864905|nasdaq__ndx_equal_weight_breadth__EMA1_W480_S90_E65__0bac6176bf66|nasdaq__ndx_hv__HV20_EMA20_W240_S20_E10__28f445f1ae95|nasdaq__ndx_natr__NATR10_EMA40_W480_S50_E40__4a1cf6f6f8a8|nasdaq__ndx_rsi__RSI56_LB160_Q10_90__861da9d7134e|nasdaq__us_10y_3m_spread__EMA80_W60_S75_E25__e9d4b528612b|nasdaq__us_10y_slope__SW160_EMA80_W480_S35_E10__efeefe8b35ae|nasdaq__us_hy_oas_level__EMA5_W120_S50_E10__ac21b6207eec|nasdaq__us_ig_oas_level__EMA40_W60_S20_E10__3991a6863cfa,global_credit_stress|ndx_bollinger|ndx_equal_weight_breadth|ndx_hv|ndx_natr|ndx_rsi|us_10y_3m_spread|us_10y_slope|us_hy_oas_level|us_ig_oas_level,outputs/nq6r1_parent_union_robustness/run_20260825T165000Z_nq6r1_parent_union_robustness_v5/01_parent_robustness_master.parquet,1
m7|n10|nq5e10_9bd42da1c1a6841b|n6|nq5e6_2c78a53ac6e928f8|n6|nq5e6_415194320e4754e5|n6|nq5e6_8b7fdbbd5d8db54a|n8|nq5e8_be766ae57cfa9042|n8|nq5e8_f2b2eadb0bc3f323|n9|nq5e9_c796e1a7980688d2|K3|L2,Combo2,Performance,11,2,n6|nq5e6_2c78a53ac6e928f8,6,4,3,nasdaq__global_credit_stress__EMA10_W240_S35_E25__4af539a6652e|nasdaq__ndx_equal_weight_breadth__EMA5_W120_S35_E10__ff45db9025e4|nasdaq__ndx_natr__NATR10_EMA40_W480_S50_E40__4a1cf6f6f8a8|nasdaq__us_10y_real_yield_level__EMA40_W120_S20_E10__cd456bfd029f|nasdaq__us_10y_slope__SW160_EMA80_W480_S35_E10__efeefe8b35ae|nasdaq__vix_spread__EMA80_W30_S90_E40__ed3fad8189f4,global_credit_stress|ndx_equal_weight_breadth|ndx_natr|us_10y_real_yield_level|us_10y_slope|vix_spread,outputs/nq6r1_parent_union_robustness/run_20260825T165000Z_nq6r1_parent_union_robustness_v5/01_parent_robustness_master.parquet,1
m7|n10|nq5e10_9bd42da1c1a6841b|n6|nq5e6_2c78a53ac6e928f8|n6|nq5e6_415194320e4754e5|n6|nq5e6_8b7fdbbd5d8db54a|n8|nq5e8_be766ae57cfa9042|n8|nq5e8_f2b2eadb0bc3f323|n9|nq5e9_c796e1a7980688d2|K3|L2,Combo2,Performance,11,3,n6|nq5e6_415194320e4754e5,6,4,2,nasdaq__ndx_equal_weight_breadth__EMA1_W480_S90_E65__0bac6176bf66|nasdaq__ndx_natr__NATR10_EMA40_W480_S50_E40__4a1cf6f6f8a8|nasdaq__ndx_rsi__RSI28_LB40_Q10_90__e31bd3d1092b|nasdaq__us_10y_real_yield_level__EMA80_W120_S90_E65__0c7a0cb6ac76|nasdaq__us_hy_oas_level__EMA5_W120_S50_E25__7fd5f662779e|nasdaq__vix_spread__EMA80_W30_S90_E25__e59e8a5cd0dc,ndx_equal_weight_breadth|ndx_natr|ndx_rsi|us_10y_real_yield_level|us_hy_oas_level|vix_spread,outputs/nq6r1_parent_union_robustness/run_20260825T165000Z_nq6r1_parent_union_robustness_v5/01_parent_robustness_master.parquet,1
m7|n10|nq5e10_9bd42da1c1a6841b|n6|nq5e6_2c78a53ac6e928f8|n6|nq5e6_415194320e4754e5|n6|nq5e6_8b7fdbbd5d8db54a|n8|nq5e8_be766ae57cfa9042|n8|nq5e8_f2b2eadb0bc3f323|n9|nq5e9_c796e1a7980688d2|K3|L2,Combo2,Performance,11,4,n6|nq5e6_8b7fdbbd5d8db54a,6,4,3,nasdaq__global_credit_stress__EMA20_W240_S35_E25__3638d9174619|nasdaq__ndx_hv__HV20_EMA20_W240_S20_E10__28f445f1ae95|nasdaq__ndx_natr__NATR10_EMA40_W480_S50_E40__4a1cf6f6f8a8|nasdaq__ndx_rsi__RSI56_LB160_Q10_90__861da9d7134e|nasdaq__us_10y_3m_spread__EMA80_W60_S75_E25__e9d4b528612b|nasdaq__us_ig_oas_level__EMA40_W60_S20_E10__3991a6863cfa,global_credit_stress|ndx_hv|ndx_natr|ndx_rsi|us_10y_3m_spread|us_ig_oas_level,outputs/nq6r1_parent_union_robustness/run_20260825T165000Z_nq6r1_parent_union_robustness_v5/01_parent_robustness_master.parquet,1
m7|n10|nq5e10_9bd42da1c1a6841b|n6|nq5e6_2c78a53ac6e928f8|n6|nq5e6_415194320e4754e5|n6|nq5e6_8b7fdbbd5d8db54a|n8|nq5e8_be766ae57cfa9042|n8|nq5e8_f2b2eadb0bc3f323|n9|nq5e9_c796e1a7980688d2|K3|L2,Combo2,Performance,11,5,n8|nq5e8_be766ae57cfa9042,8,5,4,nasdaq__global_credit_stress__EMA10_W240_S35_E25__4af539a6652e|nasdaq__ndx_index_level__EMA40_W480_S90_E80__513eaa330ee7|nasdaq__ndx_natr__NATR20_EMA5_W240_S20_E10__11efe9f4f0e1|nasdaq__ndx_rsi__RSI56_LB160_Q10_90__861da9d7134e|nasdaq__us_10y_slope__SW160_EMA80_W120_S75_E25__83e94563ebd6|nasdaq__us_hy_oas_level__EMA40_W240_S75_E65__051014cd77d8|nasdaq__us_ig_oas_level__EMA80_W60_S75_E65__0680b1b38140|nasdaq__vix_spread__EMA80_W30_S90_E25__e59e8a5cd0dc,global_credit_stress|ndx_index_level|ndx_natr|ndx_rsi|us_10y_slope|us_hy_oas_level|us_ig_oas_level|vix_spread,outputs/nq6r1_parent_union_robustness/run_20260825T165000Z_nq6r1_parent_union_robustness_v5/01_parent_robustness_master.parquet,1
m7|n10|nq5e10_9bd42da1c1a6841b|n6|nq5e6_2c78a53ac6e928f8|n6|nq5e6_415194320e4754e5|n6|nq5e6_8b7fdbbd5d8db54a|n8|nq5e8_be766ae57cfa9042|n8|nq5e8_f2b2eadb0bc3f323|n9|nq5e9_c796e1a7980688d2|K3|L2,Combo2,Performance,11,6,n8|nq5e8_f2b2eadb0bc3f323,8,5,4,nasdaq__global_credit_stress__EMA10_W240_S35_E25__4af539a6652e|nasdaq__ndx_natr__NATR20_EMA5_W240_S20_E10__11efe9f4f0e1|nasdaq__ndx_rsi__RSI56_LB160_Q10_90__861da9d7134e|nasdaq__us_10y_3m_spread__EMA80_W60_S90_E25__2af98441b548|nasdaq__us_10y_real_yield_level__EMA40_W120_S20_E10__cd456bfd029f|nasdaq__us_10y_slope__SW160_EMA80_W480_S35_E10__efeefe8b35ae|nasdaq__us_hy_oas_level__EMA40_W240_S75_E65__051014cd77d8|nasdaq__us_ig_oas_level__EMA80_W60_S75_E65__0680b1b38140,global_credit_stress|ndx_natr|ndx_rsi|us_10y_3m_spread|us_10y_real_yield_level|us_10y_slope|us_hy_oas_level|us_ig_oas_level,outputs/nq6r1_parent_union_robustness/run_20260825T165000Z_nq6r1_parent_union_robustness_v5/01_parent_robustness_master.parquet,1
m7|n10|nq5e10_9bd42da1c1a6841b|n6|nq5e6_2c78a53ac6e928f8|n6|nq5e6_415194320e4754e5|n6|nq5e6_8b7fdbbd5d8db54a|n8|nq5e8_be766ae57cfa9042|n8|nq5e8_f2b2eadb0bc3f323|n9|nq5e9_c796e1a7980688d2|K3|L2,Combo2,Performance,11,7,n9|nq5e9_c796e1a7980688d2,9,5,4,nasdaq__global_credit_stress__EMA20_W480_S20_E10__f0f0cc789143|nasdaq__ndx_index_level__EMA40_W240_S20_E10__9c24c10c878d|nasdaq__ndx_natr__NATR40_EMA5_W240_S20_E10__9261f5f1fd46|nasdaq__ndx_rsi__RSI56_LB160_Q10_90__861da9d7134e|nasdaq__us_10y_3m_spread__EMA80_W60_S75_E25__e9d4b528612b|nasdaq__us_10y_real_yield_level__EMA80_W120_S90_E65__0c7a0cb6ac76|nasdaq__us_10y_slope__SW160_EMA40_W240_S75_E25__930bdd9f7a6e|nasdaq__us_hy_oas_level__EMA5_W120_S50_E25__7fd5f662779e|nasdaq__us_ig_oas_level__EMA80_W60_S75_E65__0680b1b38140,global_credit_stress|ndx_index_level|ndx_natr|ndx_rsi|us_10y_3m_spread|us_10y_real_yield_level|us_10y_slope|us_hy_oas_level|us_ig_oas_level,outputs/nq6r1_parent_union_robustness/run_20260825T165000Z_nq6r1_parent_union_robustness_v5/01_parent_robustness_master.parquet,1
m8|n10|nq5e10_9bd42da1c1a6841b|n12|nq5e12_6c99b08fcbf3f930|n6|nq5e6_2c78a53ac6e928f8|n6|nq5e6_415194320e4754e5|n6|nq5e6_8b7fdbbd5d8db54a|n8|nq5e8_be766ae57cfa9042|n8|nq5e8_f2b2eadb0bc3f323|n9|nq5e9_c796e1a7980688d2|K4|L3,Combo2,Performance,12,1,n10|nq5e10_9bd42da1c1a6841b,10,5,4,nasdaq__global_credit_stress__EMA10_W240_S35_E25__4af539a6652e|nasdaq__ndx_bollinger__BBW80_STD3p0__e14d67864905|nasdaq__ndx_equal_weight_breadth__EMA1_W480_S90_E65__0bac6176bf66|nasdaq__ndx_hv__HV20_EMA20_W240_S20_E10__28f445f1ae95|nasdaq__ndx_natr__NATR10_EMA40_W480_S50_E40__4a1cf6f6f8a8|nasdaq__ndx_rsi__RSI56_LB160_Q10_90__861da9d7134e|nasdaq__us_10y_3m_spread__EMA80_W60_S75_E25__e9d4b528612b|nasdaq__us_10y_slope__SW160_EMA80_W480_S35_E10__efeefe8b35ae|nasdaq__us_hy_oas_level__EMA5_W120_S50_E10__ac21b6207eec|nasdaq__us_ig_oas_level__EMA40_W60_S20_E10__3991a6863cfa,global_credit_stress|ndx_bollinger|ndx_equal_weight_breadth|ndx_hv|ndx_natr|ndx_rsi|us_10y_3m_spread|us_10y_slope|us_hy_oas_level|us_ig_oas_level,outputs/nq6r1_parent_union_robustness/run_20260825T165000Z_nq6r1_parent_union_robustness_v5/01_parent_robustness_master.parquet,1
m8|n10|nq5e10_9bd42da1c1a6841b|n12|nq5e12_6c99b08fcbf3f930|n6|nq5e6_2c78a53ac6e928f8|n6|nq5e6_415194320e4754e5|n6|nq5e6_8b7fdbbd5d8db54a|n8|nq5e8_be766ae57cfa9042|n8|nq5e8_f2b2eadb0bc3f323|n9|nq5e9_c796e1a7980688d2|K4|L3,Combo2,Performance,12,2,n12|nq5e12_6c99b08fcbf3f930,12,6,5,nasdaq__global_credit_stress__EMA10_W240_S35_E25__4af539a6652e|nasdaq__ndx_bollinger__BBW20_STD3p0__8a7150892878|nasdaq__ndx_equal_weight_breadth__EMA5_W120_S35_E10__ff45db9025e4|nasdaq__ndx_hv__HV10_EMA80_W120_S20_E10__4bce0cee6933|nasdaq__ndx_index_level__EMA40_W240_S20_E10__9c24c10c878d|nasdaq__ndx_natr__NATR40_EMA5_W240_S20_E10__9261f5f1fd46|nasdaq__ndx_rsi__RSI56_LB160_Q10_90__861da9d7134e|nasdaq__us_10y_slope__SW160_EMA40_W240_S75_E25__930bdd9f7a6e|nasdaq__us_hy_oas_level__EMA40_W240_S75_E65__051014cd77d8|nasdaq__us_ig_oas_level__EMA80_W60_S75_E65__0680b1b38140|nasdaq__vix_level__EMA40_W120_S90_E40__a2fba8cdf6f4|nasdaq__vix_spread__EMA80_W30_S90_E25__e59e8a5cd0dc,global_credit_stress|ndx_bollinger|ndx_equal_weight_breadth|ndx_hv|ndx_index_level|ndx_natr|ndx_rsi|us_10y_slope|us_hy_oas_level|us_ig_oas_level|vix_level|vix_spread,outputs/nq6r1_parent_union_robustness/run_20260825T165000Z_nq6r1_parent_union_robustness_v5/01_parent_robustness_master.parquet,1
m8|n10|nq5e10_9bd42da1c1a6841b|n12|nq5e12_6c99b08fcbf3f930|n6|nq5e6_2c78a53ac6e928f8|n6|nq5e6_415194320e4754e5|n6|nq5e6_8b7fdbbd5d8db54a|n8|nq5e8_be766ae57cfa9042|n8|nq5e8_f2b2eadb0bc3f323|n9|nq5e9_c796e1a7980688d2|K4|L3,Combo2,Performance,12,3,n6|nq5e6_2c78a53ac6e928f8,6,4,3,nasdaq__global_credit_stress__EMA10_W240_S35_E25__4af539a6652e|nasdaq__ndx_equal_weight_breadth__EMA5_W120_S35_E10__ff45db9025e4|nasdaq__ndx_natr__NATR10_EMA40_W480_S50_E40__4a1cf6f6f8a8|nasdaq__us_10y_real_yield_level__EMA40_W120_S20_E10__cd456bfd029f|nasdaq__us_10y_slope__SW160_EMA80_W480_S35_E10__efeefe8b35ae|nasdaq__vix_spread__EMA80_W30_S90_E40__ed3fad8189f4,global_credit_stress|ndx_equal_weight_breadth|ndx_natr|us_10y_real_yield_level|us_10y_slope|vix_spread,outputs/nq6r1_parent_union_robustness/run_20260825T165000Z_nq6r1_parent_union_robustness_v5/01_parent_robustness_master.parquet,1
