display_order,family,selection_type,tier,role,excel_display_id,candidate_id,n_or_m,K,L,cagr,mdd,calmar,definition_source_path,metric_source_path,definition_source_key,definition_source_match_count,canonical_id,component_count,component_ids_key,component_family_count,component_definition_source_path
1,Combo1,Performance,Primary,Performance Core,n10…b65e,n10|nq5e10_cb40720ff7a5b65e,10,5,4,0.25496644016015146,-0.11859858954006464,2.14982691741051,outputs/nq6h_r2_review20/run_20260829T123000Z_nq6h_r2_review20_v1/09_review20_candidate_cards.csv,outputs/nq6h_r2_review20/run_20260829T123000Z_nq6h_r2_review20_v1/09_review20_candidate_cards.csv,canonical_parent_id,1,n10|nq5e10_cb40720ff7a5b65e,10,nasdaq__global_credit_stress__EMA20_W480_S20_E10__f0f0cc789143|nasdaq__ndx_bollinger__BBW80_STD3p0__e14d67864905|nasdaq__ndx_equal_weight_breadth__EMA1_W480_S90_E65__0bac6176bf66|nasdaq__ndx_hv__HV80_EMA5_W480_S35_E25__c2b82a39024c|nasdaq__ndx_natr__NATR80_EMA20_W240_S50_E40__9c0eb778e9e5|nasdaq__ndx_rsi__RSI56_LB160_Q10_90__861da9d7134e|nasdaq__us_10y_3m_spread__EMA80_W60_S75_E25__e9d4b528612b|nasdaq__us_10y_slope__SW160_EMA80_W120_S75_E25__83e94563ebd6|nasdaq__us_hy_oas_level__EMA20_W120_S35_E25__34cc8bb023db|nasdaq__vix_spread__EMA80_W30_S90_E25__e59e8a5cd0dc,10.0,outputs/nq6h_r2_review20/run_20260829T123000Z_nq6h_r2_review20_v1/09_review20_candidate_cards.csv
2,Combo1,Performance,Primary,Performance Core,n12…81b1,n12|nq5e12_a74db571037e81b1,12,7,5,0.26344347238124377,-0.13581426808284092,1.93973340283036,outputs/nq6h_r2_review20/run_20260829T123000Z_nq6h_r2_review20_v1/09_review20_candidate_cards.csv,outputs/nq6h_r2_review20/run_20260829T123000Z_nq6h_r2_review20_v1/09_review20_candidate_cards.csv,canonical_parent_id,1,n12|nq5e12_a74db571037e81b1,12,nasdaq__global_credit_stress__EMA10_W240_S35_E25__4af539a6652e|nasdaq__ndx_bollinger__BBW20_STD3p0__8a7150892878|nasdaq__ndx_equal_weight_breadth__EMA5_W120_S35_E10__ff45db9025e4|nasdaq__ndx_hv__HV10_EMA80_W120_S20_E10__4bce0cee6933|nasdaq__ndx_natr__NATR10_EMA40_W480_S50_E40__4a1cf6f6f8a8|nasdaq__ndx_rsi__RSI56_LB160_Q10_90__861da9d7134e|nasdaq__us_10y_2y_spread__EMA40_W30_S90_E40__ff67b87b0763|nasdaq__us_10y_3m_spread__EMA80_W60_S90_E25__2af98441b548|nasdaq__us_10y_real_yield_level__EMA40_W120_S20_E10__cd456bfd029f|nasdaq__us_10y_slope__SW160_EMA20_W240_S35_E10__94536c6d97f3|nasdaq__us_ig_oas_level__EMA80_W60_S75_E65__0680b1b38140|nasdaq__vix_spread__EMA80_W30_S90_E25__e59e8a5cd0dc,12.0,outputs/nq6h_r2_review20/run_20260829T123000Z_nq6h_r2_review20_v1/09_review20_candidate_cards.csv
3,Combo1,Performance,Primary,Performance Core,n12…f930,n12|nq5e12_6c99b08fcbf3f930,12,6,5,0.2502360794102849,-0.11859858954006475,2.109941445178407,outputs/nq6h_r2_review20/run_20260829T123000Z_nq6h_r2_review20_v1/09_review20_candidate_cards.csv,outputs/nq6h_r2_review20/run_20260829T123000Z_nq6h_r2_review20_v1/09_review20_candidate_cards.csv,canonical_parent_id,1,n12|nq5e12_6c99b08fcbf3f930,12,nasdaq__global_credit_stress__EMA10_W240_S35_E25__4af539a6652e|nasdaq__ndx_bollinger__BBW20_STD3p0__8a7150892878|nasdaq__ndx_equal_weight_breadth__EMA5_W120_S35_E10__ff45db9025e4|nasdaq__ndx_hv__HV10_EMA80_W120_S20_E10__4bce0cee6933|nasdaq__ndx_index_level__EMA40_W240_S20_E10__9c24c10c878d|nasdaq__ndx_natr__NATR40_EMA5_W240_S20_E10__9261f5f1fd46|nasdaq__ndx_rsi__RSI56_LB160_Q10_90__861da9d7134e|nasdaq__us_10y_slope__SW160_EMA40_W240_S75_E25__930bdd9f7a6e|nasdaq__us_hy_oas_level__EMA40_W240_S75_E65__051014cd77d8|nasdaq__us_ig_oas_level__EMA80_W60_S75_E65__0680b1b38140|nasdaq__vix_level__EMA40_W120_S90_E40__a2fba8cdf6f4|nasdaq__vix_spread__EMA80_W30_S90_E25__e59e8a5cd0dc,12.0,outputs/nq6h_r2_review20/run_20260829T123000Z_nq6h_r2_review20_v1/09_review20_candidate_cards.csv
4,Combo1,Performance,Primary,Performance Core,n11…a979,n11|nq5e11_ee0db6b96a6aa979,11,6,5,0.25308318431409127,-0.12519539776132005,2.0215054933295877,outputs/nq6h_r2_review20/run_20260829T123000Z_nq6h_r2_review20_v1/09_review20_candidate_cards.csv,outputs/nq6h_r2_review20/run_20260829T123000Z_nq6h_r2_review20_v1/09_review20_candidate_cards.csv,canonical_parent_id,1,n11|nq5e11_ee0db6b96a6aa979,11,nasdaq__global_credit_stress__EMA20_W240_S35_E25__3638d9174619|nasdaq__ndx_bollinger__BBW20_STD2p5__47081c2a5066|nasdaq__ndx_equal_weight_breadth__EMA20_W480_S50_E10__645adab62769|nasdaq__ndx_natr__NATR80_EMA20_W120_S75_E65__941cf2a096f4|nasdaq__ndx_rsi__RSI56_LB160_Q10_90__861da9d7134e|nasdaq__us_10y_2y_spread__EMA5_W480_S75_E65__d25e2265a868|nasdaq__us_10y_3m_spread__EMA80_W60_S90_E25__2af98441b548|nasdaq__us_10y_real_yield_level__EMA80_W60_S20_E10__340856a1f3d5|nasdaq__us_10y_slope__SW160_EMA40_W240_S75_E25__930bdd9f7a6e|nasdaq__us_hy_oas_level__EMA40_W240_S75_E65__051014cd77d8|nasdaq__vix_spread__EMA80_W30_S90_E25__e59e8a5cd0dc,11.0,outputs/nq6h_r2_review20/run_20260829T123000Z_nq6h_r2_review20_v1/09_review20_candidate_cards.csv
5,Combo1,Performance,Primary,Performance Core,n10…841b,n10|nq5e10_9bd42da1c1a6841b,10,5,4,0.24906284490998076,-0.12778912639432272,1.9490143796854837,outputs/nq6h_r2_review20/run_20260829T123000Z_nq6h_r2_review20_v1/09_review20_candidate_cards.csv,outputs/nq6h_r2_review20/run_20260829T123000Z_nq6h_r2_review20_v1/09_review20_candidate_cards.csv,canonical_parent_id,1,n10|nq5e10_9bd42da1c1a6841b,10,nasdaq__global_credit_stress__EMA10_W240_S35_E25__4af539a6652e|nasdaq__ndx_bollinger__BBW80_STD3p0__e14d67864905|nasdaq__ndx_equal_weight_breadth__EMA1_W480_S90_E65__0bac6176bf66|nasdaq__ndx_hv__HV20_EMA20_W240_S20_E10__28f445f1ae95|nasdaq__ndx_natr__NATR10_EMA40_W480_S50_E40__4a1cf6f6f8a8|nasdaq__ndx_rsi__RSI56_LB160_Q10_90__861da9d7134e|nasdaq__us_10y_3m_spread__EMA80_W60_S75_E25__e9d4b528612b|nasdaq__us_10y_slope__SW160_EMA80_W480_S35_E10__efeefe8b35ae|nasdaq__us_hy_oas_level__EMA5_W120_S50_E10__ac21b6207eec|nasdaq__us_ig_oas_level__EMA40_W60_S20_E10__3991a6863cfa,10.0,outputs/nq6h_r2_review20/run_20260829T123000Z_nq6h_r2_review20_v1/09_review20_candidate_cards.csv
6,Combo1,Practical,Primary,Whipsaw / 방어,C1P02,n8|nq5e8_6f60d9e268c12ef1,8,5,3,0.2261899081692948,-0.1277891263943225,1.77002468481813,outputs/nq_c1_practical_review26/run_20260830T083000Z_nq_c1_practical_review26_v1/02_review_pool_detail.csv,outputs/nq_c1_practical_review26/run_20260830T083000Z_nq_c1_practical_review26_v1/02_review_pool_detail.csv,canonical_parent_id,1,n8|nq5e8_6f60d9e268c12ef1,8,nasdaq__global_credit_stress__EMA10_W240_S35_E25__4af539a6652e|nasdaq__ndx_hv__HV10_EMA80_W120_S20_E10__4bce0cee6933|nasdaq__ndx_natr__NATR10_EMA40_W480_S50_E40__4a1cf6f6f8a8|nasdaq__ndx_rsi__RSI56_LB160_Q10_90__861da9d7134e|nasdaq__us_10y_3m_spread__EMA80_W60_S75_E25__e9d4b528612b|nasdaq__us_10y_slope__SW160_EMA80_W480_S35_E10__efeefe8b35ae|nasdaq__us_hy_oas_level__EMA5_W120_S50_E25__7fd5f662779e|nasdaq__vix_spread__EMA80_W30_S90_E25__e59e8a5cd0dc,8.0,outputs/nq6r1_parent_union_robustness/run_20260825T165000Z_nq6r1_parent_union_robustness_v5/01_parent_robustness_master.parquet
7,Combo1,Practical,Primary,시대 안정성,C1P05,n8|nq5e8_a6feb39063ce3ac4,8,5,3,0.2309016627827735,-0.1334038999473077,1.7308464210864585,outputs/nq_c1_practical_review26/run_20260830T083000Z_nq_c1_practical_review26_v1/02_review_pool_detail.csv,outputs/nq_c1_practical_review26/run_20260830T083000Z_nq_c1_practical_review26_v1/02_review_pool_detail.csv,canonical_parent_id,1,n8|nq5e8_a6feb39063ce3ac4,8,nasdaq__global_credit_stress__EMA10_W240_S35_E25__4af539a6652e|nasdaq__ndx_bollinger__BBW20_STD2p5__47081c2a5066|nasdaq__ndx_natr__NATR80_EMA20_W240_S50_E40__9c0eb778e9e5|nasdaq__ndx_rsi__RSI56_LB160_Q10_90__861da9d7134e|nasdaq__us_10y_3m_spread__EMA80_W60_S90_E25__2af98441b548|nasdaq__us_10y_real_yield_level__EMA80_W60_S20_E10__340856a1f3d5|nasdaq__us_hy_oas_level__EMA20_W120_S35_E25__34cc8bb023db|nasdaq__vix_spread__EMA80_W30_S90_E25__e59e8a5cd0dc,8.0,outputs/nq6r1_parent_union_robustness/run_20260825T165000Z_nq6r1_parent_union_robustness_v5/01_parent_robustness_master.parquet
8,Combo1,Practical,Primary,K/L 강건성,C1P06,n7|nq5e7_fc87283b72f8a856,7,4,3,0.2135416703076742,-0.1344701082913468,1.5880233385772888,outputs/nq_c1_practical_review26/run_20260830T083000Z_nq_c1_practical_review26_v1/02_review_pool_detail.csv,outputs/nq_c1_practical_review26/run_20260830T083000Z_nq_c1_practical_review26_v1/02_review_pool_detail.csv,canonical_parent_id,1,n7|nq5e7_fc87283b72f8a856,7,nasdaq__global_credit_stress__EMA10_W240_S35_E25__4af539a6652e|nasdaq__ndx_hv__HV20_EMA20_W240_S20_E10__28f445f1ae95|nasdaq__ndx_index_level__EMA80_W120_S90_E80__6d89656bf8d0|nasdaq__ndx_natr__NATR10_EMA40_W480_S50_E40__4a1cf6f6f8a8|nasdaq__ndx_rsi__RSI56_LB160_Q10_90__861da9d7134e|nasdaq__us_10y_3m_spread__EMA80_W60_S75_E25__e9d4b528612b|nasdaq__us_10y_real_yield_level__EMA80_W60_S20_E10__340856a1f3d5,7.0,outputs/nq6r1_parent_union_robustness/run_20260825T165000Z_nq6r1_parent_union_robustness_v5/01_parent_robustness_master.parquet
9,Combo1,Practical,Primary,고성과 Practical,C1P15,n8|nq5e8_8325c2bcedbdd951,8,5,4,0.2404180575081429,-0.1499472957525057,1.6033504058983692,outputs/nq_c1_practical_review26/run_20260830T083000Z_nq_c1_practical_review26_v1/02_review_pool_detail.csv,outputs/nq_c1_practical_review26/run_20260830T083000Z_nq_c1_practical_review26_v1/02_review_pool_detail.csv,canonical_parent_id,1,n8|nq5e8_8325c2bcedbdd951,8,nasdaq__global_credit_stress__EMA10_W240_S35_E25__4af539a6652e|nasdaq__ndx_equal_weight_breadth__EMA5_W120_S35_E10__ff45db9025e4|nasdaq__ndx_index_level__EMA20_W30_S75_E25__912154a6bd5e|nasdaq__ndx_natr__NATR10_EMA40_W480_S50_E40__4a1cf6f6f8a8|nasdaq__us_10y_2y_spread__EMA5_W480_S75_E65__d25e2265a868|nasdaq__us_10y_3m_spread__EMA80_W60_S75_E25__e9d4b528612b|nasdaq__us_10y_real_yield_level__EMA40_W120_S20_E10__cd456bfd029f|nasdaq__us_10y_slope__SW160_EMA80_W480_S35_E10__efeefe8b35ae,8.0,outputs/nq6r1_parent_union_robustness/run_20260825T165000Z_nq6r1_parent_union_robustness_v5/01_parent_robustness_master.parquet
10,Combo1,Practical,Primary,균형 / 실행강건성,C1P11,n6|nq5e6_10b44c52f07a1b52,6,4,3,0.2300195409753365,-0.1344701082913465,1.7105626216717995,outputs/nq_c1_practical_review26/run_20260830T083000Z_nq_c1_practical_review26_v1/02_review_pool_detail.csv,outputs/nq_c1_practical_review26/run_20260830T083000Z_nq_c1_practical_review26_v1/02_review_pool_detail.csv,canonical_parent_id,1,n6|nq5e6_10b44c52f07a1b52,6,nasdaq__global_credit_stress__EMA10_W240_S35_E25__4af539a6652e|nasdaq__ndx_hv__HV20_EMA20_W240_S20_E10__28f445f1ae95|nasdaq__ndx_index_level__EMA80_W120_S90_E80__6d89656bf8d0|nasdaq__ndx_natr__NATR10_EMA40_W480_S50_E40__4a1cf6f6f8a8|nasdaq__ndx_rsi__RSI56_LB160_Q10_90__861da9d7134e|nasdaq__us_10y_3m_spread__EMA80_W60_S90_E25__2af98441b548,6.0,outputs/nq6r1_parent_union_robustness/run_20260825T165000Z_nq6r1_parent_union_robustness_v5/01_parent_robustness_master.parquet
