candidate_id,indicator_id,kind,source_column,source_series_id,param_id,valid_start,valid_end
kospi_index_level__EMA40_W240_S90_E80__e5b20cca1fae,kospi_index_level,level,kospi_close,kospi_index_level,EMA40_W240_S90_E80,1997-07-08,2026-07-28
kospi_index_level__EMA80_W30_S90_E25__7bf8650fd277,kospi_index_level,level,kospi_close,kospi_index_level,EMA80_W30_S90_E25,1997-03-12,2026-07-28
usdkrw_level__EMA40_W30_S90_E80__b3e4e09b8f99,usdkrw_level,level,usdkrw_safe,usdkrw_level,EMA40_W30_S90_E80,2004-02-03,2026-07-28
usdkrw_level__EMA80_W240_S35_E25__6e58b7442eb7,usdkrw_level,level,usdkrw_safe,usdkrw_level,EMA80_W240_S35_E25,2004-07-27,2026-07-28
usdkrw_level__EMA80_W240_S75_E65__9bdc0e65eb89,usdkrw_level,level,usdkrw_safe,usdkrw_level,EMA80_W240_S75_E65,2004-07-27,2026-07-28
usdkrw_level__EMA80_W480_S75_E25__ed038e4dd10d,usdkrw_level,level,usdkrw_safe,usdkrw_level,EMA80_W480_S75_E25,2005-01-17,2026-07-28
vix_level__EMA1_W480_S20_E10__a8456afa3015,vix_level,level,vix_safe,vix_level,EMA1_W480_S20_E10,1997-12-04,2026-07-28
vix_level__EMA1_W480_S35_E10__587d5f9ea7f3,vix_level,level,vix_safe,vix_level,EMA1_W480_S35_E10,1997-12-04,2026-07-28
vix_level__EMA5_W240_S50_E10__f4ede6458387,vix_level,level,vix_safe,vix_level,EMA5_W240_S50_E10,1997-06-13,2026-07-28
vix_level__EMA5_W480_S35_E10__f1b7969f9f76,vix_level,level,vix_safe,vix_level,EMA5_W480_S35_E10,1997-12-08,2026-07-28
vix_spread__EMA10_W120_S35_E10__7696d16a802e,vix_spread,level,vix_spread_safe,vix_spread,EMA10_W120_S35_E10,2008-03-13,2026-07-28
vix_spread__EMA10_W120_S75_E25__b2ceeec94288,vix_spread,level,vix_spread_safe,vix_spread,EMA10_W120_S75_E25,2008-03-13,2026-07-28
us_hy_oas_level__EMA1_W480_S50_E25__99cc140fae43,us_hy_oas_level,level,hy_safe,us_hy_oas_level,EMA1_W480_S50_E25,1997-12-04,2026-07-28
us_hy_oas_level__EMA5_W120_S75_E10__7242bc2397f2,us_hy_oas_level,level,hy_safe,us_hy_oas_level,EMA5_W120_S75_E10,1997-03-17,2026-07-28
us_ig_oas_level__EMA1_W120_S50_E10__11ec354fd661,us_ig_oas_level,level,ig_safe,us_ig_oas_level,EMA1_W120_S50_E10,1997-03-13,2026-07-28
us_ig_oas_level__EMA5_W240_S35_E10__d4500918aee9,us_ig_oas_level,level,ig_safe,us_ig_oas_level,EMA5_W240_S35_E10,1997-06-13,2026-07-28
us_ig_oas_level__EMA10_W480_S50_E25__31952ac8973d,us_ig_oas_level,level,ig_safe,us_ig_oas_level,EMA10_W480_S50_E25,1997-12-10,2026-07-28
global_credit_stress__EMA1_W120_S50_E10__c4ab861de44c,global_credit_stress,level,credit_stress_safe,global_credit_stress,EMA1_W120_S50_E10,1997-06-13,2026-07-28
global_credit_stress__EMA5_W120_S35_E10__9a1a865e38d8,global_credit_stress,level,credit_stress_safe,global_credit_stress,EMA5_W120_S35_E10,1997-06-17,2026-07-28
global_credit_stress__EMA20_W240_S90_E65__9f30024118cb,global_credit_stress,level,credit_stress_safe,global_credit_stress,EMA20_W240_S90_E65,1997-09-25,2026-07-28
us_10y_real_yield_level__EMA1_W240_S50_E25__ba1107712d08,us_10y_real_yield_level,level,real_yield_10y_safe,us_10y_real_yield_level,EMA1_W240_S50_E25,2003-06-27,2026-07-28
us_10y_real_yield_level__EMA20_W480_S90_E10__67b442269d41,us_10y_real_yield_level,level,real_yield_10y_safe,us_10y_real_yield_level,EMA20_W480_S90_E10,2004-01-07,2026-07-28
us_10y_real_yield_level__EMA40_W480_S90_E25__34170b129534,us_10y_real_yield_level,level,real_yield_10y_safe,us_10y_real_yield_level,EMA40_W480_S90_E25,2004-01-26,2026-07-28
us_10y_2y_spread__EMA40_W480_S90_E65__4b1d14114472,us_10y_2y_spread,level,us_10y_2y_spread,us_10y_2y_spread,EMA40_W480_S90_E65,1998-01-09,2026-07-28
us_10y_2y_spread__EMA40_W480_S90_E80__10d13bb2a532,us_10y_2y_spread,level,us_10y_2y_spread,us_10y_2y_spread,EMA40_W480_S90_E80,1998-01-09,2026-07-28
us_10y_2y_spread__EMA80_W480_S90_E65__b48e91e2b5d3,us_10y_2y_spread,level,us_10y_2y_spread,us_10y_2y_spread,EMA80_W480_S90_E65,1998-02-11,2026-07-28
us_10y_3m_spread__EMA20_W480_S90_E65__597b645a4963,us_10y_3m_spread,level,us_10y_3m_spread,us_10y_3m_spread,EMA20_W480_S90_E65,1997-12-17,2026-07-28
us_10y_3m_spread__EMA80_W60_S75_E25__c69da156f28a,us_10y_3m_spread,level,us_10y_3m_spread,us_10y_3m_spread,EMA80_W60_S75_E25,1997-03-26,2026-07-28
us_10y_3m_spread__EMA80_W120_S90_E65__80d0fee310a6,us_10y_3m_spread,level,us_10y_3m_spread,us_10y_3m_spread,EMA80_W120_S90_E65,1997-05-09,2026-07-28
us_10y_slope__SW160_EMA1_W240_S75_E65__1e08769c51a3,us_10y_slope,yield_slope,us_10y_yield,us_10y_slope,SW160_EMA1_W240_S75_E65,1998-02-11,2026-07-28
us_10y_slope__SW160_EMA5_W240_S75_E40__3d8da8f736af,us_10y_slope,yield_slope,us_10y_yield,us_10y_slope,SW160_EMA5_W240_S75_E40,1998-02-13,2026-07-28
us_10y_slope__SW160_EMA40_W240_S75_E40__6da9a4cb8222,us_10y_slope,yield_slope,us_10y_yield,us_10y_slope,SW160_EMA40_W240_S75_E40,1998-03-10,2026-07-28
us_10y_slope__SW160_EMA40_W240_S75_E65__f4bb3d0ad09d,us_10y_slope,yield_slope,us_10y_yield,us_10y_slope,SW160_EMA40_W240_S75_E65,1998-03-10,2026-07-28
kospi_rsi__RSI28_LB80_Q10_80__dbbc066a9e69,kospi_rsi,rsi,kospi_close,kospi_rsi,RSI28_LB80_Q10_80,1997-03-24,2026-07-28
kospi_rsi__RSI28_LB80_Q20_90__0ade1e17e567,kospi_rsi,rsi,kospi_close,kospi_rsi,RSI28_LB80_Q20_90,1997-03-24,2026-07-28
kospi_rsi__RSI56_LB80_Q10_70__88bfbe25d8a6,kospi_rsi,rsi,kospi_close,kospi_rsi,RSI56_LB80_Q10_70,1997-05-02,2026-07-28
