combo1_id,component_count,active_count_mismatch,raw_state_mismatch,bad_count,start_event_mismatch,end_event_mismatch
combo1_n10_k8_l5_290a60cb5f34f575,10,REFERENCE_NOT_STORED,0,0,0,0
combo1_n10_k8_l5_3b047b7b9992b0dd,10,REFERENCE_NOT_STORED,0,0,0,0
combo1_n10_k8_l5_818f33babbcdb687,10,REFERENCE_NOT_STORED,0,0,0,0
combo1_n11_k8_l4_5fae25126881c080,11,REFERENCE_NOT_STORED,0,0,0,0
combo1_n11_k8_l5_11ec0a3108665b40,11,REFERENCE_NOT_STORED,0,0,0,0
combo1_n11_k8_l5_8572230026b9857b,11,REFERENCE_NOT_STORED,0,0,0,0
combo1_n11_k8_l5_93919287424179bd,11,REFERENCE_NOT_STORED,0,0,0,0
combo1_n11_k8_l6_bd84926c3959a3fd,11,REFERENCE_NOT_STORED,0,0,0,0
combo1_n11_k9_l4_3370f9e912d3725f,11,REFERENCE_NOT_STORED,0,0,0,0
combo1_n11_k9_l4_52a66ee12ced8c2f,11,REFERENCE_NOT_STORED,0,0,0,0
combo1_n11_k9_l4_790a1e65e865104e,11,REFERENCE_NOT_STORED,0,0,0,0
combo1_n11_k9_l5_3de08b5458716f22,11,REFERENCE_NOT_STORED,0,0,0,0
combo1_n11_k9_l5_40f4a3ccb9b38978,11,REFERENCE_NOT_STORED,0,0,0,0
combo1_n11_k9_l6_b6c22ce5972ed2ee,11,REFERENCE_NOT_STORED,0,0,0,0
combo1_n9_k7_l3_2390f26dee4401d1,9,REFERENCE_NOT_STORED,0,0,0,0
combo1_n9_k7_l4_3674f6539bce5a34,9,REFERENCE_NOT_STORED,0,0,0,0
combo1_n9_k8_l5_4a57a4873ef71826,9,REFERENCE_NOT_STORED,0,0,0,0
