component_id,indicator_id,source_series_id,parser_status,compute_status,risk_state_mismatch,risk_state_bad_count,risk_start_signal_mismatch,risk_start_signal_bad_count,risk_end_signal_mismatch,risk_end_signal_bad_count,valid_signal_mismatch,valid_signal_bad_count
kospi_index_level__EMA40_W240_S90_E80__e5b20cca1fae,kospi_index_level,kospi_index_level,PASS,PASS,0,0,0,0,0,0,0,0
kospi_index_level__EMA80_W30_S90_E25__7bf8650fd277,kospi_index_level,kospi_index_level,PASS,PASS,0,0,0,0,0,0,0,0
usdkrw_level__EMA40_W30_S90_E80__b3e4e09b8f99,usdkrw_level,usdkrw_level,PASS,PASS,0,0,0,0,0,0,0,0
usdkrw_level__EMA80_W240_S35_E25__6e58b7442eb7,usdkrw_level,usdkrw_level,PASS,PASS,0,0,0,0,0,0,0,0
usdkrw_level__EMA80_W240_S75_E65__9bdc0e65eb89,usdkrw_level,usdkrw_level,PASS,PASS,0,0,0,0,0,0,0,0
usdkrw_level__EMA80_W480_S75_E25__ed038e4dd10d,usdkrw_level,usdkrw_level,PASS,PASS,0,0,0,0,0,0,0,0
vix_level__EMA1_W480_S20_E10__a8456afa3015,vix_level,vix_level,PASS,PASS,0,0,0,0,0,0,0,0
vix_level__EMA1_W480_S35_E10__587d5f9ea7f3,vix_level,vix_level,PASS,PASS,0,0,0,0,0,0,0,0
vix_level__EMA5_W240_S50_E10__f4ede6458387,vix_level,vix_level,PASS,PASS,0,0,0,0,0,0,0,0
vix_level__EMA5_W480_S35_E10__f1b7969f9f76,vix_level,vix_level,PASS,PASS,0,0,0,0,0,0,0,0
vix_spread__EMA10_W120_S35_E10__7696d16a802e,vix_spread,vix_spread,PASS,PASS,0,0,0,0,0,0,0,0
vix_spread__EMA10_W120_S75_E25__b2ceeec94288,vix_spread,vix_spread,PASS,PASS,0,0,0,0,0,0,0,0
us_hy_oas_level__EMA1_W480_S50_E25__99cc140fae43,us_hy_oas_level,us_hy_oas_level,PASS,PASS,0,0,0,0,0,0,0,0
us_hy_oas_level__EMA5_W120_S75_E10__7242bc2397f2,us_hy_oas_level,us_hy_oas_level,PASS,PASS,0,0,0,0,0,0,0,0
us_ig_oas_level__EMA1_W120_S50_E10__11ec354fd661,us_ig_oas_level,us_ig_oas_level,PASS,PASS,0,0,0,0,0,0,0,0
us_ig_oas_level__EMA5_W240_S35_E10__d4500918aee9,us_ig_oas_level,us_ig_oas_level,PASS,PASS,0,0,0,0,0,0,0,0
us_ig_oas_level__EMA10_W480_S50_E25__31952ac8973d,us_ig_oas_level,us_ig_oas_level,PASS,PASS,0,0,0,0,0,0,0,0
global_credit_stress__EMA1_W120_S50_E10__c4ab861de44c,global_credit_stress,global_credit_stress,PASS,PASS,0,0,0,0,0,0,0,0
global_credit_stress__EMA5_W120_S35_E10__9a1a865e38d8,global_credit_stress,global_credit_stress,PASS,PASS,0,0,0,0,0,0,0,0
global_credit_stress__EMA20_W240_S90_E65__9f30024118cb,global_credit_stress,global_credit_stress,PASS,PASS,0,0,0,0,0,0,0,0
us_10y_real_yield_level__EMA1_W240_S50_E25__ba1107712d08,us_10y_real_yield_level,us_10y_real_yield_level,PASS,PASS,0,0,0,0,0,0,0,0
us_10y_real_yield_level__EMA20_W480_S90_E10__67b442269d41,us_10y_real_yield_level,us_10y_real_yield_level,PASS,PASS,0,0,0,0,0,0,0,0
us_10y_real_yield_level__EMA40_W480_S90_E25__34170b129534,us_10y_real_yield_level,us_10y_real_yield_level,PASS,PASS,0,0,0,0,0,0,0,0
us_10y_2y_spread__EMA40_W480_S90_E65__4b1d14114472,us_10y_2y_spread,us_10y_2y_spread,PASS,PASS,0,0,0,0,0,0,0,0
us_10y_2y_spread__EMA40_W480_S90_E80__10d13bb2a532,us_10y_2y_spread,us_10y_2y_spread,PASS,PASS,0,0,0,0,0,0,0,0
us_10y_2y_spread__EMA80_W480_S90_E65__b48e91e2b5d3,us_10y_2y_spread,us_10y_2y_spread,PASS,PASS,0,0,0,0,0,0,0,0
us_10y_3m_spread__EMA20_W480_S90_E65__597b645a4963,us_10y_3m_spread,us_10y_3m_spread,PASS,PASS,0,0,0,0,0,0,0,0
us_10y_3m_spread__EMA80_W60_S75_E25__c69da156f28a,us_10y_3m_spread,us_10y_3m_spread,PASS,PASS,0,0,0,0,0,0,0,0
us_10y_3m_spread__EMA80_W120_S90_E65__80d0fee310a6,us_10y_3m_spread,us_10y_3m_spread,PASS,PASS,0,0,0,0,0,0,0,0
us_10y_slope__SW160_EMA1_W240_S75_E65__1e08769c51a3,us_10y_slope,us_10y_slope,PASS,PASS,0,0,0,0,0,0,0,0
us_10y_slope__SW160_EMA5_W240_S75_E40__3d8da8f736af,us_10y_slope,us_10y_slope,PASS,PASS,0,0,0,0,0,0,0,0
us_10y_slope__SW160_EMA40_W240_S75_E40__6da9a4cb8222,us_10y_slope,us_10y_slope,PASS,PASS,0,0,0,0,0,0,0,0
us_10y_slope__SW160_EMA40_W240_S75_E65__f4bb3d0ad09d,us_10y_slope,us_10y_slope,PASS,PASS,0,0,0,0,0,0,0,0
kospi_rsi__RSI28_LB80_Q10_80__dbbc066a9e69,kospi_rsi,kospi_rsi,PASS,PASS,0,0,0,0,0,0,0,0
kospi_rsi__RSI28_LB80_Q20_90__0ade1e17e567,kospi_rsi,kospi_rsi,PASS,PASS,0,0,0,0,0,0,0,0
kospi_rsi__RSI56_LB80_Q10_70__88bfbe25d8a6,kospi_rsi,kospi_rsi,PASS,PASS,0,0,0,0,0,0,0,0
kospi_rsi__RSI56_LB80_Q10_90__f2cc9b35b7d4,kospi_rsi,kospi_rsi,PASS,PASS,0,0,0,0,0,0,0,0
kospi_bollinger__BBW40_STD1p5__11c5b83d0a43,kospi_bollinger,kospi_bollinger,PASS,PASS,0,0,0,0,0,0,0,0
kospi_bollinger__BBW40_STD2p0__969923a71f91,kospi_bollinger,kospi_bollinger,PASS,PASS,0,0,0,0,0,0,0,0
kospi_bollinger__BBW80_STD1p5__1396c565edce,kospi_bollinger,kospi_bollinger,PASS,PASS,0,0,0,0,0,0,0,0
kospi_bollinger__BBW80_STD2p0__b0d4bab58de5,kospi_bollinger,kospi_bollinger,PASS,PASS,0,0,0,0,0,0,0,0
kospi_natr_n10__NATR10_EMA80_W480_S35_E10__a45c51e4f324,kospi_natr,kospi_natr_n10,PASS,PASS,0,0,0,0,0,0,0,0
kospi_natr_n80__NATR80_EMA20_W480_S75_E40__53e1711720b6,kospi_natr,kospi_natr_n80,PASS,PASS,0,0,0,0,0,0,0,0
kospi_natr_n80__NATR80_EMA40_W480_S75_E40__c6632f67909c,kospi_natr,kospi_natr_n80,PASS,PASS,0,0,0,0,0,0,0,0
kospi_hv_n20__HV20_EMA5_W120_S50_E10__2ec36ee068a2,kospi_hv,kospi_hv_n20,PASS,PASS,0,0,0,0,0,0,0,0
kospi_hv_n80__HV80_EMA10_W120_S90_E65__09d89fcd32af,kospi_hv,kospi_hv_n80,PASS,PASS,0,0,0,0,0,0,0,0
kospi_hv_n80__HV80_EMA20_W480_S50_E10__bb2b7f42ca2a,kospi_hv,kospi_hv_n80,PASS,PASS,0,0,0,0,0,0,0,0
