parent_candidate_id,child_order,child_canonical_parent_id,child_n,child_K,child_L,child_component_ids_key
0e715f71f7e73cd2d9f8af55,1,n10:0039e545f90b33cd35d6efe8,10,6,5,snp__snp_bollinger__BBW80_STD2p5|snp__snp_breadth__EMA1_W480_S75_E40|snp__snp_hv__HV10_EMA40_W30_S90_E25|snp__snp_natr__NATR40_EMA10_W120_S20_E10|snp__snp_rsi__RSI56_LB320_Q30_90|snp__us_10y_3m_spread__EMA20_W60_S90_E65|snp__us_10y_nominal_yield_slope__SW20_EMA5_W240_S75_E40|snp__us_hy_oas__EMA10_W480_S50_E10|snp__us_ig_oas__EMA80_W120_S90_E10|snp__vix_level__EMA5_W30_S90_E10
0e715f71f7e73cd2d9f8af55,2,n11:773aedf0a0101aee65b6fc07,11,6,4,snp__snp_bollinger__BBW80_STD2p5|snp__snp_breadth__EMA20_W240_S50_E25|snp__snp_hv__HV40_EMA10_W480_S20_E10|snp__snp_natr__NATR20_EMA1_W240_S20_E10|snp__snp_rsi__RSI56_LB320_Q30_90|snp__us_10y_2y_spread__EMA40_W30_S90_E65|snp__us_10y_3m_spread__EMA20_W60_S90_E65|snp__us_10y_nominal_yield_slope__SW80_EMA5_W120_S90_E65|snp__us_10y_real_yield__EMA20_W30_S75_E25|snp__us_hy_oas__EMA10_W480_S20_E10|snp__vix_level__EMA10_W120_S50_E25
0e715f71f7e73cd2d9f8af55,3,n11:77409eac089451e0206e0a7b,11,6,5,snp__snp_bollinger__BBW80_STD2p5|snp__snp_hv__HV40_EMA10_W480_S20_E10|snp__snp_natr__NATR20_EMA1_W480_S20_E10|snp__snp_rsi__RSI56_LB160_Q20_70|snp__us_10y_2y_spread__EMA40_W30_S90_E65|snp__us_10y_3m_spread__EMA20_W60_S90_E65|snp__us_10y_nominal_yield_slope__SW80_EMA5_W120_S90_E65|snp__us_10y_real_yield__EMA5_W240_S75_E25|snp__us_hy_oas__EMA20_W480_S50_E25|snp__us_ig_oas__EMA80_W120_S90_E10|snp__vix_spread__EMA40_W480_S90_E40
0e715f71f7e73cd2d9f8af55,4,n8:58bca681d276acaca993cd2c,8,4,3,snp__snp_bollinger__BBW80_STD2p5|snp__snp_hv__HV40_EMA10_W480_S20_E10|snp__snp_rsi__RSI56_LB320_Q20_90|snp__us_10y_2y_spread__EMA40_W30_S90_E25|snp__us_10y_3m_spread__EMA20_W60_S90_E65|snp__us_10y_nominal_yield_slope__SW80_EMA5_W120_S90_E65|snp__us_10y_real_yield__EMA1_W240_S75_E25|snp__us_hy_oas__EMA10_W480_S50_E10
0e715f71f7e73cd2d9f8af55,5,n9:01b536f69810dbf8c0b1b8d3,9,5,4,snp__snp_bollinger__BBW80_STD2p5|snp__snp_hv__HV40_EMA10_W480_S20_E10|snp__snp_natr__NATR20_EMA1_W480_S20_E10|snp__snp_rsi__RSI56_LB160_Q20_70|snp__us_10y_2y_spread__EMA40_W30_S90_E25|snp__us_10y_3m_spread__EMA20_W60_S90_E65|snp__us_10y_nominal_yield_slope__SW80_EMA5_W120_S90_E65|snp__us_10y_real_yield__EMA1_W240_S75_E25|snp__us_ig_oas__EMA80_W120_S90_E80
0e715f71f7e73cd2d9f8af55,6,n9:3996cb40fe87142f8d38a765,9,5,4,snp__snp_bollinger__BBW80_STD2p5|snp__snp_hv__HV40_EMA20_W30_S90_E65|snp__snp_natr__NATR20_EMA1_W480_S20_E10|snp__snp_rsi__RSI56_LB160_Q10_90|snp__us_10y_2y_spread__EMA40_W30_S90_E25|snp__us_10y_3m_spread__EMA20_W60_S90_E65|snp__us_10y_nominal_yield_slope__SW80_EMA5_W120_S90_E65|snp__us_10y_real_yield__EMA1_W240_S75_E25|snp__us_hy_oas__EMA20_W480_S50_E25
0e715f71f7e73cd2d9f8af55,7,n9:7aa3be83ad36d69771044d62,9,5,4,snp__global_credit_stress__EMA20_W480_S50_E40|snp__snp_bollinger__BBW80_STD2p5|snp__snp_breadth__EMA80_W120_S35_E25|snp__snp_rsi__RSI56_LB160_Q10_90|snp__us_10y_2y_spread__EMA40_W30_S90_E65|snp__us_10y_3m_spread__EMA20_W60_S90_E65|snp__us_10y_nominal_yield_slope__SW80_EMA5_W120_S90_E65|snp__us_10y_real_yield__EMA5_W240_S75_E25|snp__us_hy_oas__EMA10_W480_S50_E10
61b4f8da571569e1eb0c324c,1,n10:101d716b6d3279f487d96d5b,10,6,5,snp__snp_bollinger__BBW80_STD2p5|snp__snp_breadth__EMA1_W480_S75_E40|snp__snp_hv__HV10_EMA40_W30_S90_E25|snp__snp_index_level__EMA40_W120_S75_E65|snp__snp_natr__NATR40_EMA10_W120_S20_E10|snp__snp_rsi__RSI56_LB320_Q20_90|snp__us_10y_3m_spread__EMA20_W60_S90_E65|snp__us_10y_nominal_yield_slope__SW20_EMA5_W240_S75_E40|snp__us_hy_oas__EMA10_W480_S50_E10|snp__vix_level__EMA5_W30_S90_E10
61b4f8da571569e1eb0c324c,2,n10:1fa8873f3d3a0bc92ce82569,10,6,5,snp__global_credit_stress__EMA20_W480_S50_E40|snp__snp_bollinger__BBW160_STD2p0|snp__snp_breadth__EMA80_W120_S35_E25|snp__snp_rsi__RSI56_LB160_Q10_90|snp__us_10y_2y_spread__EMA40_W30_S90_E65|snp__us_10y_3m_spread__EMA20_W60_S90_E65|snp__us_10y_nominal_yield_slope__SW80_EMA5_W120_S90_E65|snp__us_10y_real_yield__EMA5_W240_S75_E25|snp__us_hy_oas__EMA10_W480_S50_E10|snp__vix_level__EMA80_W120_S75_E65
61b4f8da571569e1eb0c324c,3,n10:f6e5de99b692761369ce511b,10,6,5,snp__snp_bollinger__BBW80_STD2p5|snp__snp_breadth__EMA1_W480_S75_E40|snp__snp_index_level__EMA40_W120_S75_E65|snp__snp_natr__NATR20_EMA1_W480_S20_E10|snp__snp_rsi__RSI56_LB320_Q20_90|snp__us_10y_nominal_yield_slope__SW20_EMA5_W240_S75_E40|snp__us_10y_real_yield__EMA5_W240_S75_E25|snp__us_hy_oas__EMA10_W480_S50_E10|snp__us_ig_oas__EMA80_W120_S90_E10|snp__vix_level__EMA5_W30_S90_E10
