candidate_id,display_role,research_lane,n,K,L,component_ids,family,selection_type,component_ids_key,display_order,n_or_m,m,material_indices,child_combo1_ids
7b12636f7551ff2040b9c8ed,Main1 안정적 메인,Practical,9.0,5,4,"['snp__global_credit_stress__EMA10_W120_S35_E10', 'snp__snp_bollinger__BBW80_STD2p5', 'snp__snp_breadth__EMA80_W120_S35_E25', 'snp__snp_natr__NATR20_EMA1_W480_S20_E10', 'snp__snp_rsi__RSI56_LB160_Q10_90', 'snp__us_10y_3m_spread__EMA20_W60_S90_E65', 'snp__us_10y_nominal_yield_slope__SW80_EMA5_W120_S90_E65', 'snp__us_10y_real_yield__EMA1_W240_S75_E25', 'snp__us_hy_oas__EMA10_W480_S50_E10']",Combo1,Practical,snp__global_credit_stress__EMA10_W120_S35_E10|snp__snp_bollinger__BBW80_STD2p5|snp__snp_breadth__EMA80_W120_S35_E25|snp__snp_natr__NATR20_EMA1_W480_S20_E10|snp__snp_rsi__RSI56_LB160_Q10_90|snp__us_10y_3m_spread__EMA20_W60_S90_E65|snp__us_10y_nominal_yield_slope__SW80_EMA5_W120_S90_E65|snp__us_10y_real_yield__EMA1_W240_S75_E25|snp__us_hy_oas__EMA10_W480_S50_E10,1,9,,,
939788293cd86b8488a45f38,Main2 고성과·저 Risk-off,Practical,11.0,6,5,"['snp__global_credit_stress__EMA10_W120_S35_E10', 'snp__snp_breadth__EMA1_W480_S75_E40', 'snp__snp_hv__HV40_EMA80_W240_S90_E40', 'snp__snp_natr__NATR40_EMA10_W120_S20_E10', 'snp__snp_rsi__RSI56_LB160_Q10_90', 'snp__us_10y_2y_spread__EMA40_W30_S90_E65', 'snp__us_10y_3m_spread__EMA20_W60_S90_E65', 'snp__us_10y_nominal_yield_slope__SW80_EMA5_W120_S90_E65', 'snp__us_10y_real_yield__EMA1_W240_S75_E25', 'snp__us_hy_oas__EMA10_W480_S50_E10', 'snp__vix_level__EMA80_W480_S90_E25']",Combo1,Practical,snp__global_credit_stress__EMA10_W120_S35_E10|snp__snp_breadth__EMA1_W480_S75_E40|snp__snp_hv__HV40_EMA80_W240_S90_E40|snp__snp_natr__NATR40_EMA10_W120_S20_E10|snp__snp_rsi__RSI56_LB160_Q10_90|snp__us_10y_2y_spread__EMA40_W30_S90_E65|snp__us_10y_3m_spread__EMA20_W60_S90_E65|snp__us_10y_nominal_yield_slope__SW80_EMA5_W120_S90_E65|snp__us_10y_real_yield__EMA1_W240_S75_E25|snp__us_hy_oas__EMA10_W480_S50_E10|snp__vix_level__EMA80_W480_S90_E25,2,11,,,
ff766a2413cf24620dae5ba4,MDD 방어·Calmar형,Performance,11.0,7,5,"['snp__snp_bollinger__BBW40_STD2p0', 'snp__snp_hv__HV40_EMA20_W30_S75_E65', 'snp__snp_natr__NATR10_EMA40_W30_S75_E65', 'snp__snp_rsi__RSI56_LB320_Q30_90', 'snp__us_10y_3m_spread__EMA20_W60_S90_E65', 'snp__us_10y_nominal_yield_slope__SW80_EMA5_W120_S90_E65', 'snp__us_10y_real_yield__EMA20_W30_S75_E25', 'snp__us_hy_oas__EMA10_W480_S50_E10', 'snp__us_ig_oas__EMA80_W120_S90_E80', 'snp__vix_level__EMA10_W120_S50_E25', 'snp__vix_spread__EMA40_W60_S75_E10']",Combo1,Performance,snp__snp_bollinger__BBW40_STD2p0|snp__snp_hv__HV40_EMA20_W30_S75_E65|snp__snp_natr__NATR10_EMA40_W30_S75_E65|snp__snp_rsi__RSI56_LB320_Q30_90|snp__us_10y_3m_spread__EMA20_W60_S90_E65|snp__us_10y_nominal_yield_slope__SW80_EMA5_W120_S90_E65|snp__us_10y_real_yield__EMA20_W30_S75_E25|snp__us_hy_oas__EMA10_W480_S50_E10|snp__us_ig_oas__EMA80_W120_S90_E80|snp__vix_level__EMA10_W120_S50_E25|snp__vix_spread__EMA40_W60_S75_E10,3,11,,,
f79be460c762828a3a07d8d6,기간 안정형,Practical,11.0,7,5,"['snp__global_credit_stress__EMA40_W60_S50_E10', 'snp__snp_bollinger__BBW160_STD2p0', 'snp__snp_breadth__EMA80_W120_S35_E25', 'snp__snp_natr__NATR10_EMA40_W30_S75_E65', 'snp__snp_rsi__RSI56_LB320_Q30_90', 'snp__us_10y_2y_spread__EMA40_W30_S90_E65', 'snp__us_10y_3m_spread__EMA20_W60_S90_E65', 'snp__us_10y_nominal_yield_slope__SW80_EMA5_W120_S90_E65', 'snp__us_10y_real_yield__EMA20_W30_S75_E25', 'snp__us_hy_oas__EMA10_W480_S50_E10', 'snp__vix_spread__EMA40_W60_S90_E10']",Combo1,Practical,snp__global_credit_stress__EMA40_W60_S50_E10|snp__snp_bollinger__BBW160_STD2p0|snp__snp_breadth__EMA80_W120_S35_E25|snp__snp_natr__NATR10_EMA40_W30_S75_E65|snp__snp_rsi__RSI56_LB320_Q30_90|snp__us_10y_2y_spread__EMA40_W30_S90_E65|snp__us_10y_3m_spread__EMA20_W60_S90_E65|snp__us_10y_nominal_yield_slope__SW80_EMA5_W120_S90_E65|snp__us_10y_real_yield__EMA20_W30_S75_E25|snp__us_hy_oas__EMA10_W480_S50_E10|snp__vix_spread__EMA40_W60_S90_E10,4,11,,,
1315bcf6403020b0353ca32b,고성과·고효율형,Practical,9.0,5,4,"['snp__global_credit_stress__EMA10_W120_S35_E10', 'snp__snp_bollinger__BBW80_STD2p5', 'snp__snp_hv__HV40_EMA10_W480_S20_E10', 'snp__snp_natr__NATR40_EMA10_W120_S20_E10', 'snp__snp_rsi__RSI56_LB160_Q10_90', 'snp__us_10y_3m_spread__EMA20_W60_S90_E65', 'snp__us_10y_nominal_yield_slope__SW80_EMA5_W120_S90_E65', 'snp__us_10y_real_yield__EMA1_W240_S75_E25', 'snp__us_hy_oas__EMA10_W480_S50_E10']",Combo1,Practical,snp__global_credit_stress__EMA10_W120_S35_E10|snp__snp_bollinger__BBW80_STD2p5|snp__snp_hv__HV40_EMA10_W480_S20_E10|snp__snp_natr__NATR40_EMA10_W120_S20_E10|snp__snp_rsi__RSI56_LB160_Q10_90|snp__us_10y_3m_spread__EMA20_W60_S90_E65|snp__us_10y_nominal_yield_slope__SW80_EMA5_W120_S90_E65|snp__us_10y_real_yield__EMA1_W240_S75_E25|snp__us_hy_oas__EMA10_W480_S50_E10,5,9,,,
61b4f8da571569e1eb0c324c,Main1 초저-Short 메인,Practical,,9,5,,Combo2,Practical,,1,13,13.0,"[3, 8, 27, 36, 37, 44, 51, 58, 60, 71, 76, 79, 84]","['n10:101d716b6d3279f487d96d5b', 'n10:1fa8873f3d3a0bc92ce82569', 'n10:f6e5de99b692761369ce511b', 'n11:773aedf0a0101aee65b6fc07', 'n11:77409eac089451e0206e0a7b', 'n11:b31bcde16712902cfba883c5', 'n11:f52ba1bb9150c58fc88cd853', 'n7:290b78c1ad09503ec1a29436', 'n7:7ba92890bdfe767f9ad68b84', 'n9:01b536f69810dbf8c0b1b8d3', 'n9:3996cb40fe87142f8d38a765', 'n9:544b0ea40f99fd83885608a0', 'n9:7aa3be83ad36d69771044d62']"
0e715f71f7e73cd2d9f8af55,Main2 Robust·기간안정,Performance,,6,3,,Combo2,Performance,,2,7,7.0,"[0, 36, 37, 67, 71, 76, 84]","['n10:0039e545f90b33cd35d6efe8', 'n11:773aedf0a0101aee65b6fc07', 'n11:77409eac089451e0206e0a7b', 'n8:58bca681d276acaca993cd2c', 'n9:01b536f69810dbf8c0b1b8d3', 'n9:3996cb40fe87142f8d38a765', 'n9:7aa3be83ad36d69771044d62']"
8ed8c962d98d1ee2504c6ae0,초저-Short 중형조합형,Practical,,7,3,,Combo2,Practical,,3,11,11.0,"[0, 3, 10, 18, 37, 51, 53, 60, 75, 76, 97]","['n10:0039e545f90b33cd35d6efe8', 'n10:101d716b6d3279f487d96d5b', 'n10:27a191855007d75a4b36289b', 'n10:8cc748d635b8650b87a7458c', 'n11:77409eac089451e0206e0a7b', 'n11:f52ba1bb9150c58fc88cd853', 'n5:b588939ec6a8c3a5634e03ff', 'n7:7ba92890bdfe767f9ad68b84', 'n9:31b6627bad4dc2903618dfd7', 'n9:3996cb40fe87142f8d38a765', 'n9:e3ac47024b32252169dff937']"
acaaf10f62992f86ad7dbe3a,단순·저 Risk-off형,Practical,,5,2,,Combo2,Practical,,4,7,7.0,"[1, 3, 19, 37, 47, 59, 60]","['n10:0a5ede9f15901b609980c7d5', 'n10:101d716b6d3279f487d96d5b', 'n10:965548fbccb479c3942d6149', 'n11:77409eac089451e0206e0a7b', 'n11:c78a6e5b38a4c3beabc7d99c', 'n7:6b837327f729d0fd574cd8ee', 'n7:7ba92890bdfe767f9ad68b84']"
95cff35563d9d4316b84daa8,고성과 Robust형,Performance,,8,4,,Combo2,Performance,,5,13,13.0,"[0, 3, 27, 36, 37, 45, 47, 51, 60, 63, 76, 84, 86]","['n10:0039e545f90b33cd35d6efe8', 'n10:101d716b6d3279f487d96d5b', 'n10:f6e5de99b692761369ce511b', 'n11:773aedf0a0101aee65b6fc07', 'n11:77409eac089451e0206e0a7b', 'n11:c33523f8827a7d114f5671e8', 'n11:c78a6e5b38a4c3beabc7d99c', 'n11:f52ba1bb9150c58fc88cd853', 'n7:7ba92890bdfe767f9ad68b84', 'n7:ca461c8bd5bcfc888517dfeb', 'n9:3996cb40fe87142f8d38a765', 'n9:7aa3be83ad36d69771044d62', 'n9:7bd8b8bb7e4baec99ac9ee4f']"
